band,band_lo,band_hi,depth,n_truth_classes,embedding,metric,value
"[0.50, 0.90)",0.5,0.9,category,3,ESM-2,macro_precision,0.9846920524020094
"[0.50, 0.90)",0.5,0.9,category,3,ESM-2,n,97579.0
"[0.50, 0.90)",0.5,0.9,category,3,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.08943522684184091
"[0.50, 0.90)",0.5,0.9,category,3,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.1392197193823479
"[0.50, 0.90)",0.5,0.9,category,3,ESM-2 minus CheckAMG-PST,n,97579.0
"[0.50, 0.90)",0.5,0.9,L1,28,CheckAMG-PST,micro_precision,0.5715839146491588
"[0.50, 0.90)",0.5,0.9,L1,28,CheckAMG-PST,macro_precision,0.54348159168468
"[0.50, 0.90)",0.5,0.9,L1,28,CheckAMG-PST,n,97480.0
"[0.50, 0.90)",0.5,0.9,L1,28,ESM-2,micro_precision,0.9272876487484613
"[0.50, 0.90)",0.5,0.9,L1,28,ESM-2,macro_precision,0.9119645244943598
"[0.50, 0.90)",0.5,0.9,L1,28,ESM-2,n,97480.0
"[0.50, 0.90)",0.5,0.9,L1,28,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.35570373409930245
"[0.50, 0.90)",0.5,0.9,L1,28,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.3684829328096798
"[0.50, 0.90)",0.5,0.9,L1,28,ESM-2 minus CheckAMG-PST,n,97480.0
"[0.50, 0.90)",0.5,0.9,specific,5157,CheckAMG-PST,micro_precision,0.36411522971131083
"[0.50, 0.90)",0.5,0.9,specific,5157,CheckAMG-PST,macro_precision,0.2079384355536983
"[0.50, 0.90)",0.5,0.9,specific,5157,CheckAMG-PST,n,97579.0
"[0.50, 0.90)",0.5,0.9,specific,5157,ESM-2,micro_precision,0.8283954539398846
"[0.50, 0.90)",0.5,0.9,specific,5157,ESM-2,macro_precision,0.6764720157480848
"[0.50, 0.90)",0.5,0.9,specific,5157,ESM-2,n,97579.0
"[0.50, 0.90)",0.5,0.9,specific,5157,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.46428022422857373
"[0.50, 0.90)",0.5,0.9,specific,5157,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.4685335801943865
"[0.50, 0.90)",0.5,0.9,specific,5157,ESM-2 minus CheckAMG-PST,n,97579.0
"[0.90, 1.00]",0.9,,category,3,CheckAMG-PST,micro_precision,0.9227571873917562
"[0.90, 1.00]",0.9,,category,3,CheckAMG-PST,macro_precision,0.92008264674116
"[0.90, 1.00]",0.9,,category,3,CheckAMG-PST,n,14435.0
"[0.90, 1.00]",0.9,,category,3,ESM-2,micro_precision,0.9962590924835469
"[0.90, 1.00]",0.9,,category,3,ESM-2,macro_precision,0.9961230653940095
"[0.90, 1.00]",0.9,,category,3,ESM-2,n,14435.0
"[0.90, 1.00]",0.9,,category,3,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.07350190509179078
"[0.90, 1.00]",0.9,,category,3,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.0760404186528495
"[0.90, 1.00]",0.9,,category,3,ESM-2 minus CheckAMG-PST,n,14435.0
"[0.90, 1.00]",0.9,,L1,28,CheckAMG-PST,micro_precision,0.7462386466061153
"[0.90, 1.00]",0.9,,L1,28,CheckAMG-PST,macro_precision,0.6416626923640644
"[0.90, 1.00]",0.9,,L1,28,CheckAMG-PST,n,14423.0
"[0.90, 1.00]",0.9,,L1,28,ESM-2,micro_precision,0.9791305553629619
"[0.90, 1.00]",0.9,,L1,28,ESM-2,macro_precision,0.962170732825653
"[0.90, 1.00]",0.9,,L1,28,ESM-2,n,14423.0
"[0.90, 1.00]",0.9,,L1,28,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.23289190875684662
"[0.90, 1.00]",0.9,,L1,28,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.32050804046158865
"[0.90, 1.00]",0.9,,L1,28,ESM-2 minus CheckAMG-PST,n,14423.0
"[0.90, 1.00]",0.9,,specific,2381,CheckAMG-PST,micro_precision,0.5887772774506408
"[0.90, 1.00]",0.9,,specific,2381,CheckAMG-PST,macro_precision,0.34179061344308187
"[0.90, 1.00]",0.9,,specific,2381,CheckAMG-PST,n,14435.0
"[0.90, 1.00]",0.9,,specific,2381,ESM-2,micro_precision,0.9545549012816072
"[0.90, 1.00]",0.9,,specific,2381,ESM-2,macro_precision,0.8885040988111501
"[0.90, 1.00]",0.9,,specific,2381,ESM-2,n,14435.0
"[0.90, 1.00]",0.9,,specific,2381,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.36577762383096646
"[0.90, 1.00]",0.9,,specific,2381,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.5467134853680682
"[0.90, 1.00]",0.9,,specific,2381,ESM-2 minus CheckAMG-PST,n,14435.0
pooled (all matched),,,category,3,CheckAMG-PST,micro_precision,0.8955562568564688
pooled (all matched),,,category,3,CheckAMG-PST,macro_precision,0.8524176012601332
pooled (all matched),,,category,3,CheckAMG-PST,n,133086.0
