tool	seq_type	value	ecdf
DRAM-V	Viral genomes	292	0.7033645
DRAM-V	Viral genomes	292	0.70386225
DRAM-V	Viral genomes	292	0.70436
DRAM-V	Viral genomes	292	0.7048578
DRAM-V	Viral genomes	292	0.7053556
DRAM-V	Viral genomes	292	0.70585334
DRAM-V	Viral genomes	292	0.70635116
DRAM-V	Viral genomes	292	0.7068489
DRAM-V	Viral genomes	292	0.7073467
DRAM-V	Viral genomes	292	0.7078445
DRAM-V	Viral genomes	292	0.70834225
DRAM-V	Viral genomes	292	0.70884
DRAM-V	Viral genomes	292	0.70933783
DRAM-V	Viral genomes	292	0.7098356
DRAM-V	Viral genomes	292	0.71033335
DRAM-V	Viral genomes	292	0.71083117
DRAM-V	Viral genomes	292	0.7113289
DRAM-V	Viral genomes	292	0.7118267
DRAM-V	Viral genomes	292	0.7123245
DRAM-V	Viral genomes	292	0.71282226
DRAM-V	Viral genomes	292	0.71332
DRAM-V	Viral genomes	292	0.7138178
DRAM-V	Viral genomes	292	0.7143156
DRAM-V	Viral genomes	292	0.71481335
DRAM-V	Viral genomes	292	0.7153111
DRAM-V	Viral genomes	292	0.7158089
DRAM-V	Viral genomes	292	0.7163067
DRAM-V	Viral genomes	292	0.71680444
DRAM-V	Viral genomes	292	0.71730226
DRAM-V	Viral genomes	292	0.7178
DRAM-V	Viral genomes	292	0.7182978
DRAM-V	Viral genomes	292	0.7187956
DRAM-V	Viral genomes	292	0.71929336
DRAM-V	Viral genomes	292	0.7197911
DRAM-V	Viral genomes	292	0.72028893
DRAM-V	Viral genomes	292	0.7207867
DRAM-V	Viral genomes	292	0.72128445
DRAM-V	Viral genomes	292	0.72178227
DRAM-V	Viral genomes	292	0.72228
DRAM-V	Viral genomes	292	0.7227778
DRAM-V	Viral genomes	292	0.7232756
DRAM-V	Viral genomes	292	0.72377336
DRAM-V	Viral genomes	292	0.7242711
DRAM-V	Viral genomes	292	0.7247689
DRAM-V	Viral genomes	292	0.7252667
DRAM-V	Viral genomes	292	0.72576445
DRAM-V	Viral genomes	292	0.7262622
DRAM-V	Viral genomes	292	0.72676
DRAM-V	Viral genomes	292	0.7272578
DRAM-V	Viral genomes	292	0.72775555
DRAM-V	Viral genomes	292	0.72825336
DRAM-V	Viral genomes	292	0.7287511
DRAM-V	Viral genomes	292	0.7292489
DRAM-V	Viral genomes	292	0.7297467
DRAM-V	Viral genomes	292	0.73024446
DRAM-V	Viral genomes	292	0.7307422
DRAM-V	Viral genomes	292	0.73124003
DRAM-V	Viral genomes	292	0.7317378
DRAM-V	Viral genomes	292	0.73223555
DRAM-V	Viral genomes	292	0.73273337
DRAM-V	Viral genomes	292	0.7332311
DRAM-V	Viral genomes	292	0.7337289
DRAM-V	Viral genomes	292	0.7342267
DRAM-V	Viral genomes	292	0.73472446
DRAM-V	Viral genomes	292	0.7352222
DRAM-V	Viral genomes	292	0.73572004
DRAM-V	Viral genomes	292	0.7362178
DRAM-V	Viral genomes	292	0.73671556
DRAM-V	Viral genomes	292	0.7372133
DRAM-V	Viral genomes	292	0.73771113
DRAM-V	Viral genomes	292	0.7382089
DRAM-V	Viral genomes	292	0.73870665
DRAM-V	Viral genomes	292	0.73920447
DRAM-V	Viral genomes	292	0.7397022
DRAM-V	Viral genomes	292	0.7402
DRAM-V	Viral genomes	292	0.7406978
DRAM-V	Viral genomes	292	0.74119556
DRAM-V	Viral genomes	292	0.7416933
DRAM-V	Viral genomes	292	0.74219114
DRAM-V	Viral genomes	292	0.7426889
DRAM-V	Viral genomes	292	0.74318665
DRAM-V	Viral genomes	292	0.7436845
DRAM-V	Viral genomes	292	0.7441822
DRAM-V	Viral genomes	292	0.74468
DRAM-V	Viral genomes	292	0.7451778
DRAM-V	Viral genomes	292	0.74567556
DRAM-V	Viral genomes	292	0.7461733
DRAM-V	Viral genomes	292	0.74667114
DRAM-V	Viral genomes	292	0.7471689
DRAM-V	Viral genomes	292	0.74766666
DRAM-V	Viral genomes	292	0.7481645
DRAM-V	Viral genomes	292	0.74866223
DRAM-V	Viral genomes	292	0.74916
DRAM-V	Viral genomes	292	0.74965775
DRAM-V	Viral genomes	292	0.75015557
DRAM-V	Viral genomes	292	0.7506533
DRAM-V	Viral genomes	292	0.7511511
DRAM-V	Viral genomes	292	0.7516489
DRAM-V	Viral genomes	292	0.75214666
DRAM-V	Viral genomes	292	0.7526444
DRAM-V	Viral genomes	292	0.75314224
DRAM-V	Viral genomes	292	0.75364
DRAM-V	Viral genomes	292	0.75413775
DRAM-V	Viral genomes	292	0.7546356
DRAM-V	Viral genomes	292	0.75513333
DRAM-V	Viral genomes	292	0.7556311
DRAM-V	Viral genomes	292	0.7561289
DRAM-V	Viral genomes	292	0.75662667
DRAM-V	Viral genomes	292	0.7571244
DRAM-V	Viral genomes	292	0.75762224
DRAM-V	Viral genomes	292	0.75812
DRAM-V	Viral genomes	292	0.75861776
DRAM-V	Viral genomes	292	0.7591156
DRAM-V	Viral genomes	292	0.75961334
DRAM-V	Viral genomes	292	0.7601111
DRAM-V	Viral genomes	292	0.76060885
DRAM-V	Viral genomes	292	0.76110667
DRAM-V	Viral genomes	292	0.7616044
DRAM-V	Viral genomes	292	0.7621022
DRAM-V	Viral genomes	292	0.7626
DRAM-V	Viral genomes	292	0.76309776
DRAM-V	Viral genomes	292	0.7635955
DRAM-V	Viral genomes	292	0.76409334
DRAM-V	Viral genomes	292	0.7645911
DRAM-V	Viral genomes	292	0.76508886
DRAM-V	Viral genomes	292	0.7655867
DRAM-V	Viral genomes	292	0.76608443
DRAM-V	Viral genomes	292	0.7665822
DRAM-V	Viral genomes	292	0.76708
DRAM-V	Viral genomes	292	0.76757777
DRAM-V	Viral genomes	292	0.7680755
DRAM-V	Viral genomes	292	0.76857334
DRAM-V	Viral genomes	292	0.7690711
DRAM-V	Viral genomes	292	0.76956886
DRAM-V	Viral genomes	292	0.7700667
DRAM-V	Viral genomes	292	0.77056444
DRAM-V	Viral genomes	292	0.7710622
DRAM-V	Viral genomes	292	0.77156
DRAM-V	Viral genomes	292	0.7720578
DRAM-V	Viral genomes	292	0.77255553
DRAM-V	Viral genomes	292	0.7730533
DRAM-V	Viral genomes	292	0.7735511
DRAM-V	Viral genomes	292	0.77404886
DRAM-V	Viral genomes	292	0.7745466
DRAM-V	Viral genomes	292	0.77504444
DRAM-V	Viral genomes	292	0.7755422
DRAM-V	Viral genomes	292	0.77603996
DRAM-V	Viral genomes	292	0.7765378
DRAM-V	Viral genomes	292	0.77703553
DRAM-V	Viral genomes	292	0.7775333
DRAM-V	Viral genomes	292	0.7780311
DRAM-V	Viral genomes	292	0.77852887
DRAM-V	Viral genomes	292	0.7790266
DRAM-V	Viral genomes	292	0.77952445
DRAM-V	Viral genomes	292	0.7800222
DRAM-V	Viral genomes	292	0.78051996
DRAM-V	Viral genomes	292	0.7810178
DRAM-V	Viral genomes	292	0.78151554
DRAM-V	Viral genomes	292	0.7820133
DRAM-V	Viral genomes	292	0.7825111
DRAM-V	Viral genomes	292	0.7830089
DRAM-V	Viral genomes	293	0.78350663
DRAM-V	Viral genomes	293	0.78400445
DRAM-V	Viral genomes	293	0.7845022
DRAM-V	Viral genomes	293	0.78499997
DRAM-V	Viral genomes	293	0.7854977
DRAM-V	Viral genomes	293	0.78599554
DRAM-V	Viral genomes	293	0.7864933
DRAM-V	Viral genomes	293	0.78699106
DRAM-V	Viral genomes	293	0.7874889
DRAM-V	Viral genomes	293	0.78798664
DRAM-V	Viral genomes	293	0.7884844
DRAM-V	Viral genomes	293	0.7889822
DRAM-V	Viral genomes	293	0.78948
DRAM-V	Viral genomes	293	0.7899777
DRAM-V	Viral genomes	293	0.79047555
DRAM-V	Viral genomes	293	0.7909733
DRAM-V	Viral genomes	293	0.79147106
DRAM-V	Viral genomes	293	0.7919689
DRAM-V	Viral genomes	293	0.79246664
DRAM-V	Viral genomes	293	0.7929644
DRAM-V	Viral genomes	293	0.7934622
DRAM-V	Viral genomes	293	0.79396
DRAM-V	Viral genomes	293	0.79445773
DRAM-V	Viral genomes	293	0.79495555
DRAM-V	Viral genomes	293	0.7954533
DRAM-V	Viral genomes	293	0.79595107
DRAM-V	Viral genomes	293	0.7964488
DRAM-V	Viral genomes	293	0.79694664
DRAM-V	Viral genomes	293	0.7974444
DRAM-V	Viral genomes	293	0.79794216
DRAM-V	Viral genomes	293	0.79844
DRAM-V	Viral genomes	293	0.79893774
DRAM-V	Viral genomes	293	0.7994355
DRAM-V	Viral genomes	293	0.7999333
DRAM-V	Viral genomes	293	0.8004311
DRAM-V	Viral genomes	293	0.80092883
DRAM-V	Viral genomes	293	0.80142665
DRAM-V	Viral genomes	293	0.8019244
DRAM-V	Viral genomes	293	0.80242217
DRAM-V	Viral genomes	293	0.80292
DRAM-V	Viral genomes	293	0.80341774
DRAM-V	Viral genomes	293	0.8039155
DRAM-V	Viral genomes	293	0.8044133
DRAM-V	Viral genomes	293	0.8049111
DRAM-V	Viral genomes	293	0.80540884
DRAM-V	Viral genomes	293	0.80590665
DRAM-V	Viral genomes	293	0.8064044
DRAM-V	Viral genomes	293	0.80690217
DRAM-V	Viral genomes	293	0.8074
DRAM-V	Viral genomes	293	0.80789775
DRAM-V	Viral genomes	293	0.8083955
DRAM-V	Viral genomes	293	0.80889326
DRAM-V	Viral genomes	293	0.8093911
DRAM-V	Viral genomes	293	0.80988884
DRAM-V	Viral genomes	293	0.8103866
DRAM-V	Viral genomes	293	0.8108844
DRAM-V	Viral genomes	293	0.8113822
DRAM-V	Viral genomes	293	0.81187993
DRAM-V	Viral genomes	293	0.81237775
DRAM-V	Viral genomes	293	0.8128755
DRAM-V	Viral genomes	293	0.81337327
DRAM-V	Viral genomes	293	0.8138711
DRAM-V	Viral genomes	293	0.81436884
DRAM-V	Viral genomes	293	0.8148666
DRAM-V	Viral genomes	293	0.8153644
DRAM-V	Viral genomes	293	0.8158622
DRAM-V	Viral genomes	293	0.81635994
DRAM-V	Viral genomes	293	0.81685776
DRAM-V	Viral genomes	293	0.8173555
DRAM-V	Viral genomes	293	0.8178533
DRAM-V	Viral genomes	293	0.8183511
DRAM-V	Viral genomes	293	0.81884885
DRAM-V	Viral genomes	293	0.8193466
DRAM-V	Viral genomes	293	0.81984437
DRAM-V	Viral genomes	293	0.8203422
DRAM-V	Viral genomes	293	0.82083994
DRAM-V	Viral genomes	293	0.8213377
DRAM-V	Viral genomes	293	0.8218355
DRAM-V	Viral genomes	293	0.8223333
DRAM-V	Viral genomes	293	0.82283103
DRAM-V	Viral genomes	293	0.82332885
DRAM-V	Viral genomes	293	0.8238266
DRAM-V	Viral genomes	293	0.82432437
DRAM-V	Viral genomes	293	0.8248222
DRAM-V	Viral genomes	293	0.82531995
DRAM-V	Viral genomes	293	0.8258177
DRAM-V	Viral genomes	293	0.8263155
DRAM-V	Viral genomes	293	0.8268133
DRAM-V	Viral genomes	293	0.82731104
DRAM-V	Viral genomes	293	0.82780886
DRAM-V	Viral genomes	293	0.8283066
DRAM-V	Viral genomes	293	0.8288044
DRAM-V	Viral genomes	293	0.8293022
DRAM-V	Viral genomes	293	0.82979995
DRAM-V	Viral genomes	293	0.8302977
DRAM-V	Viral genomes	293	0.8307955
DRAM-V	Viral genomes	293	0.8312933
DRAM-V	Viral genomes	293	0.83179104
DRAM-V	Viral genomes	293	0.8322888
DRAM-V	Viral genomes	293	0.8327866
DRAM-V	Viral genomes	293	0.8332844
DRAM-V	Viral genomes	293	0.83378214
DRAM-V	Viral genomes	293	0.83427995
DRAM-V	Viral genomes	293	0.8347777
DRAM-V	Viral genomes	293	0.8352755
DRAM-V	Viral genomes	293	0.8357733
DRAM-V	Viral genomes	293	0.83627105
DRAM-V	Viral genomes	293	0.8367688
DRAM-V	Viral genomes	293	0.8372666
DRAM-V	Viral genomes	293	0.8377644
DRAM-V	Viral genomes	293	0.83826214
DRAM-V	Viral genomes	293	0.83875996
DRAM-V	Viral genomes	293	0.8392577
DRAM-V	Viral genomes	293	0.8397555
DRAM-V	Viral genomes	293	0.8402533
DRAM-V	Viral genomes	293	0.84075105
DRAM-V	Viral genomes	293	0.8412488
DRAM-V	Viral genomes	293	0.8417466
DRAM-V	Viral genomes	293	0.8422444
DRAM-V	Viral genomes	293	0.84274215
DRAM-V	Viral genomes	293	0.84323996
DRAM-V	Viral genomes	293	0.8437377
DRAM-V	Viral genomes	293	0.8442355
DRAM-V	Viral genomes	293	0.84473324
DRAM-V	Viral genomes	293	0.84523106
DRAM-V	Viral genomes	293	0.8457288
DRAM-V	Viral genomes	293	0.8462266
DRAM-V	Viral genomes	293	0.8467244
DRAM-V	Viral genomes	293	0.84722215
DRAM-V	Viral genomes	293	0.8477199
DRAM-V	Viral genomes	293	0.8482177
DRAM-V	Viral genomes	293	0.8487155
DRAM-V	Viral genomes	293	0.84921324
DRAM-V	Viral genomes	293	0.84971106
DRAM-V	Viral genomes	293	0.8502088
DRAM-V	Viral genomes	293	0.8507066
DRAM-V	Viral genomes	293	0.8512044
DRAM-V	Viral genomes	293	0.85170215
DRAM-V	Viral genomes	293	0.8521999
DRAM-V	Viral genomes	293	0.85269773
DRAM-V	Viral genomes	293	0.8531955
DRAM-V	Viral genomes	293	0.85369325
DRAM-V	Viral genomes	293	0.85419106
DRAM-V	Viral genomes	293	0.8546888
DRAM-V	Viral genomes	293	0.8551866
DRAM-V	Viral genomes	293	0.85568434
DRAM-V	Viral genomes	293	0.85618216
DRAM-V	Viral genomes	293	0.8566799
DRAM-V	Viral genomes	293	0.8571777
DRAM-V	Viral genomes	293	0.8576755
DRAM-V	Viral genomes	293	0.85817325
DRAM-V	Viral genomes	293	0.858671
DRAM-V	Viral genomes	293	0.8591688
DRAM-V	Viral genomes	293	0.8596666
DRAM-V	Viral genomes	293	0.86016434
DRAM-V	Viral genomes	293	0.86066216
DRAM-V	Viral genomes	293	0.8611599
DRAM-V	Viral genomes	293	0.8616577
DRAM-V	Viral genomes	294	0.8621555
DRAM-V	Viral genomes	294	0.86265326
DRAM-V	Viral genomes	294	0.863151
DRAM-V	Viral genomes	294	0.86364883
DRAM-V	Viral genomes	294	0.8641466
DRAM-V	Viral genomes	294	0.86464435
DRAM-V	Viral genomes	294	0.86514217
DRAM-V	Viral genomes	294	0.8656399
DRAM-V	Viral genomes	294	0.8661377
DRAM-V	Viral genomes	294	0.8666355
DRAM-V	Viral genomes	294	0.86713326
DRAM-V	Viral genomes	294	0.867631
DRAM-V	Viral genomes	294	0.8681288
DRAM-V	Viral genomes	294	0.8686266
DRAM-V	Viral genomes	294	0.86912435
DRAM-V	Viral genomes	294	0.8696221
DRAM-V	Viral genomes	294	0.8701199
DRAM-V	Viral genomes	294	0.8706177
DRAM-V	Viral genomes	294	0.87111545
DRAM-V	Viral genomes	294	0.87161326
DRAM-V	Viral genomes	294	0.872111
DRAM-V	Viral genomes	294	0.8726088
DRAM-V	Viral genomes	294	0.8731066
DRAM-V	Viral genomes	294	0.87360436
DRAM-V	Viral genomes	294	0.8741021
DRAM-V	Viral genomes	294	0.87459993
DRAM-V	Viral genomes	294	0.8750977
DRAM-V	Viral genomes	294	0.87559545
DRAM-V	Viral genomes	294	0.87609327
DRAM-V	Viral genomes	294	0.876591
DRAM-V	Viral genomes	294	0.8770888
DRAM-V	Viral genomes	294	0.8775866
DRAM-V	Viral genomes	294	0.87808436
DRAM-V	Viral genomes	294	0.8785821
DRAM-V	Viral genomes	294	0.87907994
DRAM-V	Viral genomes	294	0.8795777
DRAM-V	Viral genomes	294	0.88007545
DRAM-V	Viral genomes	294	0.8805732
DRAM-V	Viral genomes	294	0.88107103
DRAM-V	Viral genomes	294	0.8815688
DRAM-V	Viral genomes	294	0.88206655
DRAM-V	Viral genomes	294	0.88256437
DRAM-V	Viral genomes	294	0.8830621
DRAM-V	Viral genomes	294	0.8835599
DRAM-V	Viral genomes	294	0.8840577
DRAM-V	Viral genomes	294	0.88455546
DRAM-V	Viral genomes	294	0.8850532
DRAM-V	Viral genomes	294	0.88555104
DRAM-V	Viral genomes	294	0.8860488
DRAM-V	Viral genomes	294	0.88654655
DRAM-V	Viral genomes	294	0.88704437
DRAM-V	Viral genomes	294	0.8875421
DRAM-V	Viral genomes	294	0.8880399
DRAM-V	Viral genomes	294	0.8885377
DRAM-V	Viral genomes	294	0.88903546
DRAM-V	Viral genomes	294	0.8895332
DRAM-V	Viral genomes	294	0.89003104
DRAM-V	Viral genomes	294	0.8905288
DRAM-V	Viral genomes	294	0.89102656
DRAM-V	Viral genomes	294	0.8915243
DRAM-V	Viral genomes	294	0.89202213
DRAM-V	Viral genomes	294	0.8925199
DRAM-V	Viral genomes	294	0.89301765
DRAM-V	Viral genomes	294	0.89351547
DRAM-V	Viral genomes	294	0.8940132
DRAM-V	Viral genomes	294	0.894511
DRAM-V	Viral genomes	294	0.8950088
DRAM-V	Viral genomes	294	0.89550656
DRAM-V	Viral genomes	294	0.8960043
DRAM-V	Viral genomes	294	0.89650214
DRAM-V	Viral genomes	294	0.8969999
DRAM-V	Viral genomes	294	0.89749765
DRAM-V	Viral genomes	294	0.8979955
DRAM-V	Viral genomes	294	0.89849323
DRAM-V	Viral genomes	294	0.898991
DRAM-V	Viral genomes	294	0.8994888
DRAM-V	Viral genomes	294	0.89998657
DRAM-V	Viral genomes	294	0.9004843
DRAM-V	Viral genomes	294	0.90098214
DRAM-V	Viral genomes	294	0.9014799
DRAM-V	Viral genomes	294	0.90197766
DRAM-V	Viral genomes	294	0.9024755
DRAM-V	Viral genomes	294	0.90297323
DRAM-V	Viral genomes	294	0.903471
DRAM-V	Viral genomes	294	0.90396875
DRAM-V	Viral genomes	294	0.90446657
DRAM-V	Viral genomes	294	0.9049643
DRAM-V	Viral genomes	294	0.9054621
DRAM-V	Viral genomes	294	0.9059599
DRAM-V	Viral genomes	294	0.90645766
DRAM-V	Viral genomes	294	0.9069554
DRAM-V	Viral genomes	294	0.90745324
DRAM-V	Viral genomes	294	0.907951
DRAM-V	Viral genomes	294	0.90844876
DRAM-V	Viral genomes	294	0.9089466
DRAM-V	Viral genomes	294	0.90944433
DRAM-V	Viral genomes	294	0.9099421
DRAM-V	Viral genomes	294	0.9104399
DRAM-V	Viral genomes	294	0.91093767
DRAM-V	Viral genomes	294	0.9114354
DRAM-V	Viral genomes	294	0.91193324
DRAM-V	Viral genomes	294	0.912431
DRAM-V	Viral genomes	294	0.91292876
DRAM-V	Viral genomes	294	0.9134266
DRAM-V	Viral genomes	294	0.91392434
DRAM-V	Viral genomes	294	0.9144221
DRAM-V	Viral genomes	294	0.91491985
DRAM-V	Viral genomes	294	0.9154177
DRAM-V	Viral genomes	294	0.9159154
DRAM-V	Viral genomes	294	0.9164132
DRAM-V	Viral genomes	294	0.916911
DRAM-V	Viral genomes	294	0.91740876
DRAM-V	Viral genomes	294	0.9179065
DRAM-V	Viral genomes	294	0.91840434
DRAM-V	Viral genomes	294	0.9189021
DRAM-V	Viral genomes	294	0.91939986
DRAM-V	Viral genomes	294	0.9198977
DRAM-V	Viral genomes	294	0.92039543
DRAM-V	Viral genomes	294	0.9208932
DRAM-V	Viral genomes	294	0.921391
DRAM-V	Viral genomes	294	0.92188877
DRAM-V	Viral genomes	294	0.9223865
DRAM-V	Viral genomes	295	0.92288435
DRAM-V	Viral genomes	295	0.9233821
DRAM-V	Viral genomes	295	0.92387986
DRAM-V	Viral genomes	295	0.9243777
DRAM-V	Viral genomes	295	0.92487544
DRAM-V	Viral genomes	295	0.9253732
DRAM-V	Viral genomes	295	0.925871
DRAM-V	Viral genomes	295	0.9263688
DRAM-V	Viral genomes	295	0.92686653
DRAM-V	Viral genomes	295	0.9273643
DRAM-V	Viral genomes	295	0.9278621
DRAM-V	Viral genomes	295	0.92835987
DRAM-V	Viral genomes	295	0.9288576
DRAM-V	Viral genomes	295	0.92935544
DRAM-V	Viral genomes	295	0.9298532
DRAM-V	Viral genomes	295	0.93035096
DRAM-V	Viral genomes	295	0.9308488
DRAM-V	Viral genomes	295	0.93134654
DRAM-V	Viral genomes	295	0.9318443
DRAM-V	Viral genomes	295	0.9323421
DRAM-V	Viral genomes	295	0.9328399
DRAM-V	Viral genomes	295	0.9333376
DRAM-V	Viral genomes	295	0.93383545
DRAM-V	Viral genomes	295	0.9343332
DRAM-V	Viral genomes	295	0.93483096
DRAM-V	Viral genomes	295	0.9353288
DRAM-V	Viral genomes	295	0.93582654
DRAM-V	Viral genomes	295	0.9363243
DRAM-V	Viral genomes	295	0.9368221
DRAM-V	Viral genomes	295	0.9373199
DRAM-V	Viral genomes	295	0.93781763
DRAM-V	Viral genomes	295	0.93831545
DRAM-V	Viral genomes	295	0.9388132
DRAM-V	Viral genomes	295	0.93931097
DRAM-V	Viral genomes	295	0.9398087
DRAM-V	Viral genomes	295	0.94030654
DRAM-V	Viral genomes	295	0.9408043
DRAM-V	Viral genomes	295	0.94130206
DRAM-V	Viral genomes	295	0.9417999
DRAM-V	Viral genomes	295	0.94229764
DRAM-V	Viral genomes	295	0.9427954
DRAM-V	Viral genomes	295	0.9432932
DRAM-V	Viral genomes	295	0.943791
DRAM-V	Viral genomes	295	0.94428873
DRAM-V	Viral genomes	295	0.94478655
DRAM-V	Viral genomes	295	0.9452843
DRAM-V	Viral genomes	295	0.94578207
DRAM-V	Viral genomes	295	0.9462799
DRAM-V	Viral genomes	295	0.94677764
DRAM-V	Viral genomes	295	0.9472754
DRAM-V	Viral genomes	295	0.9477732
DRAM-V	Viral genomes	295	0.948271
DRAM-V	Viral genomes	295	0.94876873
DRAM-V	Viral genomes	295	0.94926655
DRAM-V	Viral genomes	295	0.9497643
DRAM-V	Viral genomes	295	0.95026207
DRAM-V	Viral genomes	295	0.9507598
DRAM-V	Viral genomes	295	0.95125765
DRAM-V	Viral genomes	295	0.9517554
DRAM-V	Viral genomes	295	0.95225316
DRAM-V	Viral genomes	295	0.952751
DRAM-V	Viral genomes	295	0.95324874
DRAM-V	Viral genomes	295	0.9537465
DRAM-V	Viral genomes	295	0.9542443
DRAM-V	Viral genomes	295	0.9547421
DRAM-V	Viral genomes	295	0.95523983
DRAM-V	Viral genomes	295	0.95573765
DRAM-V	Viral genomes	295	0.9562354
DRAM-V	Viral genomes	295	0.95673317
DRAM-V	Viral genomes	295	0.957231
DRAM-V	Viral genomes	295	0.95772874
DRAM-V	Viral genomes	295	0.9582265
DRAM-V	Viral genomes	295	0.9587243
DRAM-V	Viral genomes	295	0.9592221
DRAM-V	Viral genomes	295	0.95971984
DRAM-V	Viral genomes	295	0.96021765
DRAM-V	Viral genomes	295	0.9607154
DRAM-V	Viral genomes	295	0.9612132
DRAM-V	Viral genomes	295	0.961711
DRAM-V	Viral genomes	295	0.96220875
DRAM-V	Viral genomes	295	0.9627065
DRAM-V	Viral genomes	296	0.96320426
DRAM-V	Viral genomes	296	0.9637021
DRAM-V	Viral genomes	296	0.96419984
DRAM-V	Viral genomes	296	0.9646976
DRAM-V	Viral genomes	296	0.9651954
DRAM-V	Viral genomes	296	0.9656932
DRAM-V	Viral genomes	296	0.96619093
DRAM-V	Viral genomes	296	0.96668875
DRAM-V	Viral genomes	296	0.9671865
DRAM-V	Viral genomes	296	0.96768427
DRAM-V	Viral genomes	296	0.9681821
DRAM-V	Viral genomes	296	0.96867985
DRAM-V	Viral genomes	296	0.9691776
DRAM-V	Viral genomes	296	0.9696754
DRAM-V	Viral genomes	296	0.9701732
DRAM-V	Viral genomes	296	0.97067094
DRAM-V	Viral genomes	296	0.97116876
DRAM-V	Viral genomes	296	0.9716665
DRAM-V	Viral genomes	296	0.9721643
DRAM-V	Viral genomes	296	0.9726621
DRAM-V	Viral genomes	296	0.97315985
DRAM-V	Viral genomes	296	0.9736576
DRAM-V	Viral genomes	296	0.97415537
DRAM-V	Viral genomes	296	0.9746532
DRAM-V	Viral genomes	296	0.97515094
DRAM-V	Viral genomes	296	0.9756487
DRAM-V	Viral genomes	296	0.9761465
DRAM-V	Viral genomes	296	0.9766443
DRAM-V	Viral genomes	296	0.97714204
DRAM-V	Viral genomes	296	0.97763985
DRAM-V	Viral genomes	296	0.9781376
DRAM-V	Viral genomes	296	0.9786354
DRAM-V	Viral genomes	296	0.9791332
DRAM-V	Viral genomes	296	0.97963095
DRAM-V	Viral genomes	296	0.9801287
DRAM-V	Viral genomes	296	0.9806265
DRAM-V	Viral genomes	296	0.9811243
DRAM-V	Viral genomes	296	0.98162204
DRAM-V	Viral genomes	296	0.98211986
DRAM-V	Viral genomes	296	0.9826176
DRAM-V	Viral genomes	296	0.9831154
DRAM-V	Viral genomes	296	0.9836132
DRAM-V	Viral genomes	296	0.98411095
DRAM-V	Viral genomes	296	0.9846087
DRAM-V	Viral genomes	296	0.9851065
DRAM-V	Viral genomes	297	0.9856043
DRAM-V	Viral genomes	297	0.98610204
DRAM-V	Viral genomes	297	0.9865998
DRAM-V	Viral genomes	297	0.9870976
DRAM-V	Viral genomes	297	0.9875954
DRAM-V	Viral genomes	297	0.98809314
DRAM-V	Viral genomes	297	0.98859096
DRAM-V	Viral genomes	297	0.9890887
DRAM-V	Viral genomes	297	0.9895865
DRAM-V	Viral genomes	297	0.9900843
DRAM-V	Viral genomes	297	0.99058205
DRAM-V	Viral genomes	297	0.9910798
DRAM-V	Viral genomes	297	0.9915776
DRAM-V	Viral genomes	297	0.9920754
DRAM-V	Viral genomes	297	0.99257314
DRAM-V	Viral genomes	297	0.99307096
DRAM-V	Viral genomes	297	0.9935687
DRAM-V	Viral genomes	297	0.9940665
DRAM-V	Viral genomes	297	0.9945643
DRAM-V	Viral genomes	297	0.99506205
DRAM-V	Viral genomes	298	0.9955598
DRAM-V	Viral genomes	298	0.9960576
DRAM-V	Viral genomes	298	0.9965554
DRAM-V	Viral genomes	298	0.99705315
DRAM-V	Viral genomes	298	0.99755096
DRAM-V	Viral genomes	298	0.9980487
DRAM-V	Viral genomes	298	0.9985465
DRAM-V	Viral genomes	298	0.99904424
DRAM-V	Viral genomes	299	0.99954206
CheckAMG (all)	Mixed metagenomes	0	4.6987225e-7
CheckAMG (all)	Mixed metagenomes	0	0.00050041394
CheckAMG (all)	Mixed metagenomes	0	0.001000358
CheckAMG (all)	Mixed metagenomes	0	0.0015003021
CheckAMG (all)	Mixed metagenomes	0	0.0020002462
CheckAMG (all)	Mixed metagenomes	0	0.0025001904
CheckAMG (all)	Mixed metagenomes	0	0.0030001344
CheckAMG (all)	Mixed metagenomes	0	0.0035000786
CheckAMG (all)	Mixed metagenomes	0	0.0040000225
CheckAMG (all)	Mixed metagenomes	0	0.0044999667
CheckAMG (all)	Mixed metagenomes	0	0.004999911
CheckAMG (all)	Mixed metagenomes	0	0.0054998547
CheckAMG (all)	Mixed metagenomes	0	0.005999799
CheckAMG (all)	Mixed metagenomes	0	0.006499743
CheckAMG (all)	Mixed metagenomes	0	0.0069996873
CheckAMG (all)	Mixed metagenomes	0	0.007499631
CheckAMG (all)	Mixed metagenomes	0	0.007999576
CheckAMG (all)	Mixed metagenomes	0	0.008499519
CheckAMG (all)	Mixed metagenomes	0	0.008999463
CheckAMG (all)	Mixed metagenomes	0	0.009499407
CheckAMG (all)	Mixed metagenomes	0	0.009999352
CheckAMG (all)	Mixed metagenomes	0	0.010499296
CheckAMG (all)	Mixed metagenomes	0	0.01099924
CheckAMG (all)	Mixed metagenomes	0	0.011499184
CheckAMG (all)	Mixed metagenomes	0	0.011999127
CheckAMG (all)	Mixed metagenomes	0	0.012499072
CheckAMG (all)	Mixed metagenomes	0	0.012999016
CheckAMG (all)	Mixed metagenomes	0	0.01349896
CheckAMG (all)	Mixed metagenomes	0	0.013998904
CheckAMG (all)	Mixed metagenomes	0	0.0144988485
CheckAMG (all)	Mixed metagenomes	0	0.014998793
CheckAMG (all)	Mixed metagenomes	0	0.015498737
