tool	seq_type	value	ecdf
DRAM-V	Mixed metagenomes	153	0.07499208
DRAM-V	Mixed metagenomes	154	0.075492024
DRAM-V	Mixed metagenomes	154	0.07599197
DRAM-V	Mixed metagenomes	155	0.076491915
DRAM-V	Mixed metagenomes	155	0.076991856
DRAM-V	Mixed metagenomes	156	0.077491805
DRAM-V	Mixed metagenomes	157	0.07799175
DRAM-V	Mixed metagenomes	157	0.07849169
DRAM-V	Mixed metagenomes	158	0.07899164
DRAM-V	Mixed metagenomes	158	0.07949158
DRAM-V	Mixed metagenomes	159	0.07999153
DRAM-V	Mixed metagenomes	159	0.08049147
DRAM-V	Mixed metagenomes	160	0.08099141
DRAM-V	Mixed metagenomes	160	0.08149136
DRAM-V	Mixed metagenomes	161	0.0819913
DRAM-V	Mixed metagenomes	161	0.08249124
DRAM-V	Mixed metagenomes	162	0.08299119
DRAM-V	Mixed metagenomes	163	0.08349113
DRAM-V	Mixed metagenomes	163	0.08399107
DRAM-V	Mixed metagenomes	164	0.08449102
DRAM-V	Mixed metagenomes	164	0.08499096
DRAM-V	Mixed metagenomes	165	0.085490905
DRAM-V	Mixed metagenomes	165	0.08599085
DRAM-V	Mixed metagenomes	166	0.086490795
DRAM-V	Mixed metagenomes	166	0.086990744
DRAM-V	Mixed metagenomes	167	0.087490685
DRAM-V	Mixed metagenomes	167	0.08799063
DRAM-V	Mixed metagenomes	168	0.088490576
DRAM-V	Mixed metagenomes	168	0.08899052
DRAM-V	Mixed metagenomes	169	0.08949046
DRAM-V	Mixed metagenomes	169	0.08999041
DRAM-V	Mixed metagenomes	170	0.09049035
DRAM-V	Mixed metagenomes	170	0.09099029
DRAM-V	Mixed metagenomes	171	0.09149024
DRAM-V	Mixed metagenomes	171	0.09199018
DRAM-V	Mixed metagenomes	172	0.09249013
DRAM-V	Mixed metagenomes	172	0.09299007
DRAM-V	Mixed metagenomes	173	0.09349001
DRAM-V	Mixed metagenomes	173	0.09398996
DRAM-V	Mixed metagenomes	174	0.0944899
DRAM-V	Mixed metagenomes	174	0.09498984
DRAM-V	Mixed metagenomes	175	0.09548979
DRAM-V	Mixed metagenomes	175	0.095989734
DRAM-V	Mixed metagenomes	176	0.096489675
DRAM-V	Mixed metagenomes	176	0.096989624
DRAM-V	Mixed metagenomes	177	0.097489566
DRAM-V	Mixed metagenomes	177	0.09798951
DRAM-V	Mixed metagenomes	178	0.098489456
DRAM-V	Mixed metagenomes	178	0.0989894
DRAM-V	Mixed metagenomes	179	0.099489346
