function,group,genomes_with_F,group_size,prevalence_per_1000,odds_ratio,p,fdr_q,enriched,biome
Nucleoside / nucleobase transport,Bacillota,27,14558,1.9,Inf,2.70328808469777e-32,7.800917044413565e-31,TRUE,soil
Iron reduction,Desulfobacterota_B,34,712,47.8,5366.63,1.4088007491513785e-82,1.7074665079714708e-80,TRUE,soil
Iron uptake / siderophore / Fe homeostasis,Desulfobacterota_B,54,712,75.8,117.02,1.0544769956300027e-85,1.5975326483794541e-83,TRUE,soil
Nitrogen fixation,Bacillota,24,14558,1.6,110.19,2.084785093144895e-25,4.211265888152688e-24,TRUE,soil
Photosynthesis,Cyanobacteriota,7,716,9.8,96.04,6.5142573589703875e-12,5.721217332660949e-11,TRUE,soil
Iron-sulfur cluster assembly,Nanobdellota,3,457,6.6,88.49,9.045170082741403e-6,4.1213331354445794e-5,TRUE,soil
ABC-type transport,Desulfobacterota_B,55,712,77.2,80.27,1.7468698172645896e-79,1.7643385154372354e-77,TRUE,soil
Manganese cycling,Bacillota,67,14558,4.6,71.19,5.456844737120911e-65,4.1335598883690905e-63,TRUE,soil
Aliphatic hydrocarbon degradation,Desulfobacterota_B,7,712,9.8,49.41,3.7746113375243074e-10,2.9706681435580914e-9,TRUE,soil
Substrate transport (other),Desulfobacterota_B,56,712,78.7,47.5,1.9083447636200509e-69,1.6520813239339297e-67,TRUE,soil
Alkaloid biosynthesis,Nanobdellota,3,457,6.6,34.53,1.1883178259202332e-4,4.64593937101717e-4,TRUE,soil
Terpenoid / carotenoid metabolism,Desulfobacterota_B,5,712,7,26.55,2.1865887193401555e-6,1.0686070676775275e-5,TRUE,soil
Polyphosphate metabolism,Pseudomonadota,71,75389,0.9,26.27,1.1412991172140826e-26,2.470097375113336e-25,TRUE,soil
polysaccharide biosynthetic process,Pseudomonadota,14,75389,0.2,25.88,4.351843434715033e-6,2.0443543577033412e-5,TRUE,soil
Phosphonate / phosphite metabolism,Actinomycetota,214,58870,3.6,25.85,1.9148251180543486e-93,3.867946738469784e-91,TRUE,soil
Organosulfur metabolism,Cyanobacteriota,7,716,9.8,25.76,2.418447159201152e-8,1.6284210871954424e-7,TRUE,soil
Iron-sulfur cluster assembly,Thermoproteota,3,1608,1.9,24.9,3.7122686997717976e-4,0.0012855056183209768,TRUE,soil
Cobalamin (B12) metabolism,Asgardarchaeota,30,614,48.9,24.5,2.6175806165231754e-30,6.896755885274105e-29,TRUE,soil
Reactive oxygen species detoxification,Bacillota,61,14558,4.2,23.39,1.919169363002745e-46,7.753444226531089e-45,TRUE,soil
Glycolysis,Halobacteriota,8,873,9.2,16.9,5.5900910183607934e-8,3.4567297521700417e-7,TRUE,soil
Bile / wax / mycolic / lipopolysaccharide,Thermoplasmatota,7,910,7.7,15.34,7.063386983719782e-7,3.722097836638424e-6,TRUE,soil
Aminotransferase / transamination,Thermoplasmatota,64,910,70.3,13.26,1.2501750631835595e-46,5.411472059208836e-45,TRUE,soil
Fatty acid degradation (β-oxidation),Desulfobacterota_B,4,712,5.6,11.85,4.553580390951782e-4,0.0015245689043739117,TRUE,soil
Polysaccharide / complex carbon degradation,Thermoplasmatota,72,910,79.1,11.51,3.674217132258171e-48,1.7127504478065011e-46,TRUE,soil
Lysine metabolism,Nanobdellota,4,457,8.8,11.46,5.031487922941997e-4,0.001657109609403723,TRUE,soil
3HP / 4HB / DC4HB cycle,Pseudomonadota,92,75389,1.2,10.64,8.05570797749172e-27,1.8080589016148082e-25,TRUE,soil
PAH / polycyclic aromatic degradation,Planctomycetota,19,3184,6,10.15,7.035781437500504e-13,6.876908953427912e-12,TRUE,soil
Riboflavin / FAD metabolism,Actinomycetota,121,58870,2.1,10.03,3.3786893724959082e-40,1.137492088740289e-38,TRUE,soil
Sugar interconversion,Thermoplasmatota,71,910,78,9.9,1.9154604152041724e-43,7.254806322585803e-42,TRUE,soil
Benzoate / aromatic carboxylic acid degradation,Desulfobacterota_B,6,712,8.4,9.88,4.681641803726038e-5,1.956603402108951e-4,TRUE,soil
Terpenoid / carotenoid metabolism,Desulfobacterota,4,1513,2.6,9.74,9.894681707358977e-4,0.0031068275205489845,TRUE,soil
Sulfur metabolism (other),Thermoplasmatota,3,910,3.3,9.43,0.004556445149987059,0.011749811748477267,TRUE,soil
Oxidative phosphorylation / ETC,Bacillota,30,14558,2.1,9.39,2.0063066886336187e-16,2.7018263406932733e-15,TRUE,soil
Denitrification (NO3 → N2),Thermoproteota,18,1608,11.2,9.38,5.860270265674923e-12,5.285591945208778e-11,TRUE,soil
Branched-chain amino acid metabolism (Val/Leu/Ile),Desulfobacterota_B,5,712,7,9.34,2.586597365222514e-4,9.330226210266926e-4,TRUE,soil
Lysine metabolism,Desulfobacterota_B,5,712,7,9.22,2.732357071324828e-4,9.797682752797905e-4,TRUE,soil
Drug / xenobiotic by P450,Bacillota,4,14558,0.3,9.17,0.003179736315400014,0.008798722406997299,TRUE,soil
CAZy: carbohydrate esterase (CE),Myxococcota,8,1466,5.5,9.14,5.036957890327238e-6,2.347997293491005e-5,TRUE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Bacillota,124,14558,8.5,8.86,1.12416727493666e-60,7.56939298457351e-59,TRUE,soil
Cysteine / methionine metabolism,Thermoplasmatota,10,910,11,8.41,6.463503806716791e-7,3.435862549886294e-6,TRUE,soil
D-amino acid metabolism,Thermoproteota,3,1608,1.9,8.3,0.00667909140782733,0.016520528135279027,TRUE,soil
Organosulfur metabolism,Thermoplasmatota,3,910,3.3,8.22,0.006572375493680998,0.01632319487365035,TRUE,soil
Fermentation,Halobacteriota,9,873,10.3,8.15,2.966536847112614e-6,1.415528605787594e-5,TRUE,soil
Fermentation,Desulfobacterota_B,7,712,9.8,7.72,5.084632186675801e-5,2.110470619948997e-4,TRUE,soil
D-amino acid metabolism,Patescibacteriota,4,2411,1.7,7.51,0.0026034196799330877,0.0073723005889693985,TRUE,soil
Denitrification (NO3 → N2),Halobacteriota,8,873,9.2,7.4,2.040523665105103e-5,8.960560442418061e-5,TRUE,soil
Pantothenate / CoA metabolism,Halobacteriota,3,873,3.4,7.3,0.008994336606569205,0.021889831259361198,TRUE,soil
Gluconeogenesis,Acidobacteriota,129,22995,5.6,7.02,4.069826732717978e-50,2.2421045454791773e-48,TRUE,soil
Cysteine / methionine metabolism,Nanobdellota,4,457,8.8,6.56,0.003710615674279517,0.009993924882726166,TRUE,soil
Methanotrophy / methane oxidation,Thermoplasmatota,6,910,6.6,6.44,4.47982477047375e-4,0.0015166334139145767,TRUE,soil
TCA cycle,Pseudomonadota,66,75389,0.9,6.43,1.4306431197558305e-15,1.7339394611440664e-14,TRUE,soil
Pyruvate metabolism,Halobacteriota,7,873,8,6.37,1.633286144888854e-4,6.186071273766535e-4,TRUE,soil
CAZy: polysaccharide lyase (PL),Desulfobacterota_B,5,712,7,6.35,0.0014002068119277273,0.004242626640141013,TRUE,soil
Iron uptake / siderophore / Fe homeostasis,Cyanobacteriota,4,716,5.6,6.01,0.005077237962794522,0.012873666131604521,TRUE,soil
Folate / one-carbon pool metabolism,Nanobdellota,11,457,24.1,5.85,5.5089716326368355e-6,2.548425045326658e-5,TRUE,soil
Pentose phosphate pathway,Thermoplasmatota,16,910,17.6,5.84,4.726679231276158e-8,2.986803695196311e-7,TRUE,soil
Bile / wax / mycolic / lipopolysaccharide,Acidobacteriota,47,22995,2,5.77,6.000220186836144e-17,8.456124263308612e-16,TRUE,soil
Glycan / glycoside metabolism,Bacteroidota,3,15021,0.2,5.7,0.02828264659367316,0.05910097874402047,FALSE,soil
Sulfur metabolism (other),Actinomycetota,53,58870,0.9,5.62,1.1049935779672417e-13,1.1747826460493833e-12,TRUE,soil
Phosphate starvation response,Bacillota,81,14558,5.6,5.59,1.8383619175418013e-29,4.456189288121326e-28,TRUE,soil
Methanogenesis,Pseudomonadota,9,75389,0.1,5.55,0.005739353465013276,0.014431735268871556,TRUE,soil
Ubiquinone / quinone biosynthesis,Pseudomonadota,15,75389,0.2,5.55,4.977511925694649e-4,0.0016482908344103591,TRUE,soil
Glycolysis,Thermoproteota,5,1608,3.1,5.54,0.00261621236026988,0.007374068327086267,TRUE,soil
Pyruvate metabolism,Desulfobacterota_B,5,712,7,5.54,0.0025104956326146453,0.007176228081907901,TRUE,soil
Glycine / serine / threonine metabolism,Thermoplasmatota,6,910,6.6,5.43,0.0010641724641157163,0.0032910174532059804,TRUE,soil
Lipid degradation,Planctomycetota,3,3184,0.9,5.39,0.021402201153403334,0.046991789488994275,TRUE,soil
Cysteine / methionine metabolism,Cyanobacteriota,5,716,7,5.24,0.003170936015358284,0.008798722406997299,TRUE,soil
Calvin-Benson-Bassham (CBB) cycle,Patescibacteriota,5,2411,2.1,5.19,0.00355070475078414,0.009605924459710665,TRUE,soil
Phosphate starvation response,Thermoplasmatota,6,910,6.6,5.15,0.001380065143565603,0.004202610437189726,TRUE,soil
Pyruvate metabolism,Nanobdellota,3,457,6.6,5.14,0.022060775159158066,0.04826292327238191,TRUE,soil
Arginine / proline metabolism,Nanobdellota,3,457,6.6,5.09,0.022680342660678313,0.04926267975760235,TRUE,soil
Folate / one-carbon pool metabolism,Thermoplasmatota,19,910,20.9,5.09,2.352109065663396e-8,1.6015484199910315e-7,TRUE,soil
MFS transport,Pseudomonadota,65,75389,0.9,5.01,3.6961160107241285e-13,3.861803969825555e-12,TRUE,soil
NAD(P) / nicotinamide metabolism,Nitrospirota,5,669,7.5,5.01,0.0037941626662289186,0.010173728211215595,TRUE,soil
Glycerolipid / glycerophospholipid metabolism,Thermoproteota,8,1608,5,4.91,3.3436465614560353e-4,0.0011712426683481835,TRUE,soil
Lipid metabolism (other),Verrucomicrobiota,58,3581,16.2,4.87,5.208673832252239e-21,8.093477800884249e-20,TRUE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Desulfobacterota_B,5,712,7,4.83,0.00443678576855395,0.011490137503178179,TRUE,soil
Glycolysis,Myxococcota,4,1466,2.7,4.82,0.010927170211078701,0.025666143984161602,TRUE,soil
BTEX / monoaromatic hydrocarbon degradation,Pseudomonadota,18,75389,0.2,4.75,2.0892378653665578e-4,7.719988697634964e-4,TRUE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Myxococcota,10,1466,6.8,4.75,8.143863370509749e-5,3.24682973850586e-4,TRUE,soil
Oxygenase / monooxygenase / dioxygenase,Actinomycetota,32,58870,0.5,4.71,7.295982705362883e-8,4.3346720778920655e-7,TRUE,soil
Methanotrophy / methane oxidation,Acidobacteriota,81,22995,3.5,4.67,1.34406718332339e-23,2.3956020973352187e-22,TRUE,soil
Glyoxylate / dicarboxylate metabolism,Bacillota,22,14558,1.5,4.66,5.692091767794304e-8,3.4842501124074223e-7,TRUE,soil
PAH / polycyclic aromatic degradation,Bacillota,36,14558,2.5,4.59,5.9310272652507734e-12,5.285591945208778e-11,TRUE,soil
Glycolysis / EMP,Acidobacteriota,138,22995,6,4.55,4.75897676557521e-38,1.5178631157571458e-36,TRUE,soil
Pantothenate / CoA metabolism,Chloroflexota,10,4951,2,4.52,1.531807403631081e-4,5.875160041774906e-4,TRUE,soil
Phosphate starvation response,Halobacteriota,5,873,5.7,4.46,0.00617098772115962,0.015389376786101768,TRUE,soil
Pantothenate / CoA metabolism,Myxococcota,3,1466,2,4.33,0.034778765041073176,0.0695958265736175,FALSE,soil
Ammonia assimilation (GS-GOGAT),Bacteroidota,50,15021,3.3,4.27,6.4657225645628314e-15,7.3928827813680675e-14,TRUE,soil
Arginine / proline metabolism,Pseudomonadota,196,75389,2.6,4.27,3.8206726156294993e-32,1.0524216386688531e-30,TRUE,soil
Fatty acid biosynthesis,Pseudomonadota,1282,75389,17,4.27,5.262799411204008e-200,3.189256443189629e-197,TRUE,soil
Gluconeogenesis,Thermoplasmatota,5,910,5.5,4.24,0.0075244998182570485,0.01846091858244442,TRUE,soil
CAZy: polysaccharide lyase (PL),Nitrospirota,3,669,4.5,4.01,0.04108730905499793,0.078794016732053,FALSE,soil
Phosphate starvation response,Thermoproteota,8,1608,5,3.9,0.0014106263953067198,0.004252933311223245,TRUE,soil
Phosphatase / phosphate liberation,Thermoproteota,8,1608,5,3.8,0.0016454738417730024,0.004912104177903643,TRUE,soil
CAZy: carbohydrate esterase (CE),Actinomycetota,80,58870,1.4,3.79,1.9451216714539985e-14,2.1828587646317092e-13,TRUE,soil
PTS / phosphotransferase transport,Bacillota,3,14558,0.2,3.75,0.06456826307816815,0.11374525414351716,FALSE,soil
Nitroaromatic / nitrotoluene degradation,Pseudomonadota,8,75389,0.1,3.7,0.031565769229387995,0.06397610753514757,FALSE,soil
Iron-sulfur cluster assembly,Bacillota,4,14558,0.3,3.67,0.036002056056051744,0.07153195399989297,FALSE,soil
Cysteine / methionine metabolism,Asgardarchaeota,3,614,4.9,3.63,0.05219520236170933,0.09614070708570169,FALSE,soil
Branched-chain amino acid metabolism (Val/Leu/Ile),Chloroflexota,13,4951,2.6,3.58,1.4872904417328808e-4,5.740751641338381e-4,TRUE,soil
Sugar interconversion,Thermoproteota,48,1608,29.9,3.54,6.470605903625182e-13,6.515495911374094e-12,TRUE,soil
Polysaccharide / complex carbon degradation,Thermoproteota,42,1608,26.1,3.51,2.053836630454659e-11,1.7780357115078905e-10,TRUE,soil
Cysteine / methionine metabolism,Bacillota,59,14558,4.1,3.49,4.3221371374217763e-14,4.677169830852851e-13,TRUE,soil
Denitrification (NO3 → N2),Thermoplasmatota,4,910,4.4,3.48,0.030422374364459083,0.06249477581309222,FALSE,soil
Cysteine / methionine metabolism,Desulfobacterota,7,1513,4.6,3.47,0.005042446565852261,0.012839170667674243,TRUE,soil
Pentose phosphate pathway,Planctomycetota,33,3184,10.4,3.47,3.767179548847501e-9,2.784037569026324e-8,TRUE,soil
Aminotransferase / transamination,Thermoproteota,32,1608,19.9,3.46,6.303624715698873e-9,4.494113620839432e-8,TRUE,soil
Lipoic acid metabolism,Bacillota,3,14558,0.2,3.44,0.07677776199606351,0.13106288385806897,FALSE,soil
Glycine / serine / threonine metabolism,Acidobacteriota,77,22995,3.3,3.39,2.83428226881842e-16,3.654415010433963e-15,TRUE,soil
PTS / phosphotransferase transport,Pseudomonadota,9,75389,0.1,3.33,0.04497805110463049,0.0846481334453605,FALSE,soil
Lipoic acid metabolism,Bacteroidota,3,15021,0.2,3.32,0.08270626032071299,0.14039213936793296,FALSE,soil
Sterol / isoprenoid metabolism,Bacillota,7,14558,0.5,3.32,0.009585460503049273,0.023050750257332775,TRUE,soil
Polysaccharide / complex carbon degradation,Patescibacteriota,59,2411,24.5,3.31,3.0260115350923455e-14,3.334114527756293e-13,TRUE,soil
ABC-type transport,Cyanobacteriota,3,716,4.2,3.27,0.06693373175399127,0.11695190377344702,FALSE,soil
Pentose phosphate pathway,Thermoproteota,16,1608,10,3.27,6.240521146749943e-5,2.555240415493558e-4,TRUE,soil
Glycerolipid / glycerophospholipid metabolism,Desulfobacterota,5,1513,3.3,3.21,0.022350567729196427,0.048721021740622435,TRUE,soil
ABC transporters,Pseudomonadota,19,75389,0.3,3.19,0.0018425970414359077,0.005394269599565991,TRUE,soil
Halogenated aromatic / chlorinated degradation,Actinomycetota,41,58870,0.7,3.19,7.482125957209713e-7,3.875357547067595e-6,TRUE,soil
Cobalamin (B12) metabolism,Cyanobacteriota,5,716,7,3.18,0.022972974726548665,0.04972008101531604,TRUE,soil
Organosulfur metabolism,Planctomycetota,4,3184,1.3,3.13,0.043753197096119106,0.08285761700077555,FALSE,soil
PAH / polycyclic aromatic degradation,Myxococcota,3,1466,2,3.1,0.07651346995072045,0.13106288385806897,FALSE,soil
Heme / porphyrin / chlorophyll metabolism,Acidobacteriota,51,22995,2.2,3.09,3.612511578676903e-10,2.8805026535239517e-9,TRUE,soil
Glycolysis / EMP,Thermoplasmatota,5,910,5.5,3.05,0.026780392831414822,0.05654675280779576,FALSE,soil
Heme / porphyrin / chlorophyll metabolism,Desulfobacterota,4,1513,2.6,3.05,0.04562417080424059,0.08533409724496852,FALSE,soil
Aminotransferase / transamination,Patescibacteriota,42,2411,17.4,3.03,1.4856987397501939e-9,1.125416795360772e-8,TRUE,soil
CAZy: auxiliary activity / LPMO (AA),Actinomycetota,8,58870,0.1,3.03,0.03809959778233962,0.07447856856805746,FALSE,soil
Cobalamin (B12) metabolism,Thermoplasmatota,6,910,6.6,3,0.01714386855756611,0.03847846054031505,TRUE,soil
Branched-chain amino acid metabolism (Val/Leu/Ile),Verrucomicrobiota,8,3581,2.2,2.97,0.007307927493188889,0.018002455532001898,TRUE,soil
Sugar interconversion,Patescibacteriota,60,2411,24.9,2.95,1.9283408247493917e-12,1.7705674845426233e-11,TRUE,soil
CAZy: polysaccharide lyase (PL),Thermoplasmatota,3,910,3.3,2.94,0.08535317559980829,0.1436778455930106,FALSE,soil
Heme / porphyrin / chlorophyll metabolism,Planctomycetota,8,3184,2.5,2.94,0.007634858474675585,0.01865614611150566,TRUE,soil
NAD(P) / nicotinamide metabolism,Thermoproteota,7,1608,4.4,2.92,0.012205097758478927,0.028122772781894408,TRUE,soil
TCA cycle,Verrucomicrobiota,4,3581,1.1,2.91,0.0541383098113916,0.09880678568038562,FALSE,soil
Gluconeogenesis,Thermoproteota,6,1608,3.7,2.88,0.020712365874038928,0.045642522616973054,TRUE,soil
Heme / porphyrin / chlorophyll metabolism,Thermoproteota,4,1608,2.5,2.87,0.05469087655860169,0.0992295544745887,FALSE,soil
Pentose phosphate pathway,Patescibacteriota,21,2411,8.7,2.87,3.32996083391229e-5,1.4111582275180753e-4,TRUE,soil
Alanine / aspartate / glutamate metabolism,Bacteroidota,54,15021,3.6,2.86,5.826653500722687e-10,4.526861565946087e-9,TRUE,soil
Iron uptake / siderophore / Fe homeostasis,Bacteroidota,36,15021,2.4,2.85,2.762666901914086e-7,1.5359414151926021e-6,TRUE,soil
Pentose phosphate pathway,Nanobdellota,4,457,8.8,2.84,0.05595291436422253,0.10091507769261562,FALSE,soil
Thiamine metabolism,Bacillota,8,14558,0.5,2.82,0.01296416369127463,0.02953489923651288,TRUE,soil
Calvin-Benson-Bassham (CBB) cycle,Verrucomicrobiota,4,3581,1.1,2.74,0.06411319033632955,0.11327286689159097,FALSE,soil
Carbohydrate metabolism (other),Pseudomonadota,66,75389,0.9,2.71,2.2000978744095756e-7,1.2460367400861709e-6,TRUE,soil
Pyruvate metabolism,Myxococcota,5,1466,3.4,2.67,0.04320988898259926,0.0823433733441986,FALSE,soil
Inorganic ion transport,Bacillota,6,14558,0.4,2.66,0.036743538694968464,0.072294105354386,FALSE,soil
Phosphatase / phosphate liberation,Chloroflexota,17,4951,3.4,2.66,4.475593623926532e-4,0.0015166334139145767,TRUE,soil
Drug / xenobiotic by P450,Actinomycetota,5,58870,0.1,2.65,0.1501126398360331,0.23138445199600122,FALSE,soil
Iron uptake / siderophore / Fe homeostasis,Chloroflexota,12,4951,2.4,2.65,0.002992938619296606,0.008396855570804366,TRUE,soil
NAD(P) / nicotinamide metabolism,Desulfobacterota,6,1513,4,2.65,0.029185375329687346,0.060647669643890054,FALSE,soil
Sugar interconversion,Asgardarchaeota,14,614,22.8,2.65,0.0012928804302601313,0.003956997680493129,TRUE,soil
Alanine / aspartate / glutamate metabolism,Bacillota,49,14558,3.4,2.63,3.2170888544021186e-8,2.1190824410518305e-7,TRUE,soil
Cobalamin (B12) metabolism,Halobacteriota,5,873,5.7,2.6,0.04712117726183555,0.08786287206360721,FALSE,soil
Polyketide / antibiotic biosynthesis,Thermoproteota,30,1608,18.7,2.59,5.887635241912511e-6,2.702959815605289e-5,TRUE,soil
Phosphatase / phosphate liberation,Halobacteriota,3,873,3.4,2.58,0.11376158421482942,0.18334978732496443,FALSE,soil
Amino-acid / peptide transport,Actinomycetota,30,58870,0.5,2.56,4.348597300984298e-4,0.001488841787794624,TRUE,soil
Arginine / proline metabolism,Desulfobacterota,5,1513,3.3,2.56,0.050099094008105007,0.09312899070218292,FALSE,soil
Aminotransferase / transamination,Asgardarchaeota,9,614,14.7,2.5,0.012293510009930505,0.02821919343188593,TRUE,soil
Aminotransferase / transamination,Actinomycetota,612,58870,10.4,2.45,5.815282488304001e-55,3.524061187912225e-53,TRUE,soil
D-amino acid metabolism,Pseudomonadota,29,75389,0.4,2.44,0.0017850400634372694,0.0052767525777706594,TRUE,soil
Lipid degradation,Bacillota,6,14558,0.4,2.43,0.05115737913488555,0.09451637730408734,FALSE,soil
Methanotrophy / methane oxidation,Patescibacteriota,6,2411,2.5,2.41,0.043510154576404295,0.082655654148279,FALSE,soil
Fermentation,Thermoproteota,5,1608,3.1,2.4,0.062444380533583053,0.1112979253039745,FALSE,soil
Formaldehyde oxidation / fixation,Pseudomonadota,26,75389,0.3,2.4,0.0031294820830349364,0.008739475310226596,TRUE,soil
Fermentation,Chloroflexota,15,4951,3,2.38,0.003980380884602434,0.010533235004668452,TRUE,soil
Fatty acid degradation (β-oxidation),Bacteroidota,16,15021,1.1,2.37,0.003326760420585407,0.009107505131480901,TRUE,soil
Polysaccharide / complex carbon degradation,Asgardarchaeota,11,614,17.9,2.35,0.009150131333201226,0.022179918351679772,TRUE,soil
Lysine metabolism,Pseudomonadota,94,75389,1.2,2.32,6.589432973718863e-8,3.9931963820736305e-7,TRUE,soil
Glycolysis,Bacillota,18,14558,1.2,2.31,0.0021304574533583765,0.0061478915082627435,TRUE,soil
Glycolysis / EMP,Patescibacteriota,10,2411,4.1,2.31,0.014287148208226692,0.03242701054002014,TRUE,soil
Inorganic ion transport,Acidobacteriota,8,22995,0.3,2.3,0.05429293896140159,0.09880678568038562,FALSE,soil
Polyketide / antibiotic biosynthesis,Verrucomicrobiota,59,3581,16.5,2.3,2.971736082324672e-8,1.978980292185441e-7,TRUE,soil
Lipid metabolism (other),Asgardarchaeota,5,614,8.1,2.29,0.07172776936362382,0.12454735883769638,FALSE,soil
Pentose phosphate pathway,Desulfobacterota_B,5,712,7,2.27,0.07383598739841338,0.12747751670495303,FALSE,soil
Cobalamin (B12) metabolism,Thermoproteota,8,1608,5,2.26,0.029222969531379366,0.060647669643890054,FALSE,soil
Terpenoid / carotenoid metabolism,Pseudomonadota,34,75389,0.5,2.25,0.0019323614215056928,0.005629860679963701,TRUE,soil
Aminotransferase / transamination,Nanobdellota,6,457,13.1,2.23,0.05739993324361832,0.10260873022310531,FALSE,soil
Polyketide / antibiotic biosynthesis,Asgardarchaeota,10,614,16.3,2.23,0.02780989575293252,0.05831417586947096,FALSE,soil
Starch,Patescibacteriota,11,2411,4.6,2.22,0.020086710533221627,0.04458808272209636,TRUE,soil
Ammonia assimilation (GS-GOGAT),Acidobacteriota,43,22995,1.9,2.2,2.1385651410861012e-5,9.323528600706312e-5,TRUE,soil
NAD(P) / nicotinamide metabolism,Pseudomonadota,177,75389,2.3,2.2,1.6702235658750877e-12,1.557162278338928e-11,TRUE,soil
Substrate transport (other),Nitrospirota,3,669,4.5,2.2,0.1590826672919928,0.24283147702505703,FALSE,soil
Benzoate / aromatic carboxylic acid degradation,Pseudomonadota,103,75389,1.4,2.19,1.0582367006912971e-7,6.166263852105057e-7,TRUE,soil
Inorganic ion transport,Pseudomonadota,20,75389,0.3,2.18,0.023632610680877505,0.05060551969120766,FALSE,soil
Cobalamin (B12) metabolism,Bacteroidota,67,15021,4.5,2.17,7.166191345355822e-8,4.299714807213493e-7,TRUE,soil
Glycolysis,Patescibacteriota,3,2411,1.2,2.17,0.16645812960981046,0.2521840663588628,FALSE,soil
Pyruvate metabolism,Pseudomonadota,150,75389,2,2.17,1.8913926449703142e-10,1.585350453821287e-9,TRUE,soil
Branched-chain amino acid metabolism (Val/Leu/Ile),Pseudomonadota,90,75389,1.2,2.16,8.377624693909786e-7,4.302407258058754e-6,TRUE,soil
ABC-type transport,Myxococcota,4,1466,2.7,2.13,0.1241523356183548,0.19903787138815612,FALSE,soil
Calvin-Benson-Bassham (CBB) cycle,Pseudomonadota,48,75389,0.6,2.11,5.33235434699479e-4,0.0017373154485370121,TRUE,soil
Glyoxylate / dicarboxylate metabolism,Verrucomicrobiota,3,3581,0.8,2.11,0.17771737147809089,0.2664476515628047,FALSE,soil
Polyketide / antibiotic biosynthesis,Thermoplasmatota,14,910,15.4,2.11,0.010019192444352018,0.023904057564083953,TRUE,soil
Fermentation,Myxococcota,4,1466,2.7,2.1,0.12885741590348282,0.20388405753919212,FALSE,soil
Starch,Thermoproteota,7,1608,4.4,2.1,0.054294817873875266,0.09880678568038562,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Bacillota,100,14558,6.9,2.09,2.829714163013304e-10,2.28640904371475e-9,TRUE,soil
Folate / one-carbon pool metabolism,Thermoproteota,14,1608,8.7,2.08,0.011077743571608626,0.025919353684922115,TRUE,soil
Glycolysis / EMP,Thermoproteota,6,1608,3.7,2.06,0.07659930597285565,0.13106288385806897,FALSE,soil
Biotin metabolism,Pseudomonadota,70,75389,0.9,2.05,3.724200882984632e-5,1.5672678715893657e-4,TRUE,soil
Lipid metabolism (other),Pseudomonadota,404,75389,5.4,2.05,5.372136105990671e-23,9.301469943515276e-22,TRUE,soil
NAD(P) / nicotinamide metabolism,Bacillota,42,14558,2.9,2.04,8.906292273545378e-5,3.504683842706818e-4,TRUE,soil
Cobalamin (B12) metabolism,Nitrospirota,3,669,4.5,2.03,0.18807961957140368,0.27935355259870254,FALSE,soil
Lysine metabolism,Planctomycetota,5,3184,1.6,2.03,0.1080048160488332,0.17594332936987345,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Desulfobacterota_B,5,712,7,2,0.11034612585426562,0.17831933938049324,FALSE,soil
Polysaccharide / complex carbon degradation,Nanobdellota,7,457,15.3,2,0.09527671134253078,0.15862001943289467,FALSE,soil
Formaldehyde oxidation / fixation,Bacteroidota,6,15021,0.4,1.99,0.13543748414338766,0.21153380255384774,FALSE,soil
Starch,Planctomycetota,13,3184,4.1,1.99,0.027544099419152097,0.05795737586113253,FALSE,soil
Organosulfur metabolism,Pseudomonadota,46,75389,0.6,1.98,0.0016967240507689675,0.005040268503754874,TRUE,soil
Aminotransferase / transamination,Myxococcota,17,1466,11.6,1.97,0.009463431128496999,0.022847965194697936,TRUE,soil
CAZy: carbohydrate esterase (CE),Bacillota,17,14558,1.2,1.97,0.015053902597010473,0.03403979467831473,TRUE,soil
Substrate transport (other),Pseudomonadota,227,75389,3,1.97,1.5892532653500104e-12,1.528710283812867e-11,TRUE,soil
Fermentation,Bacillota,35,14558,2.4,1.95,5.257639277194786e-4,0.0017222321091784,TRUE,soil
Denitrification (NO3 → N2),Chloroflexota,12,4951,2.4,1.94,0.03946207006719945,0.07689393717274234,FALSE,soil
Lipid metabolism (other),Bacillota,94,14558,6.5,1.92,5.0100613519638294e-8,3.1299970920516293e-7,TRUE,soil
Thiol cofactor metabolism,Acidobacteriota,3,22995,0.1,1.92,0.24152424341624218,0.3356965401611072,FALSE,soil
Histidine metabolism,Pseudomonadota,41,75389,0.5,1.9,0.004886049185663416,0.012546380536067924,TRUE,soil
Lipid degradation,Bacteroidota,5,15021,0.3,1.9,0.19999833417914817,0.29275118481295603,FALSE,soil
Phosphonate / phosphite metabolism,Gemmatimonadota,3,1450,2.1,1.9,0.21454607405716727,0.30955933542534136,FALSE,soil
Biotin metabolism,Bacillota,16,14558,1.1,1.88,0.023408255523356028,0.05030284697572253,FALSE,soil
Polysaccharide / complex carbon degradation,Myxococcota,21,1466,14.3,1.88,0.009646321308765474,0.023105417838386866,TRUE,soil
Aliphatic hydrocarbon degradation,Pseudomonadota,25,75389,0.3,1.85,0.036872900906918415,0.0723138444970633,FALSE,soil
