function,group,genomes_with_F,group_size,prevalence_per_1000,odds_ratio,p,fdr_q,enriched,biome
Sphingolipid / ceramide metabolism,Bacillota,6,106914,0.1,0.54,0.24332732585049102,0.3108668497557604,FALSE,gut
Substrate transport (other),Campylobacterota,7,1329,5.3,0.54,0.11923003259491753,0.16692204563288454,FALSE,gut
Sugar interconversion,Actinomycetota,31,10619,2.9,0.54,2.6300465737077143e-4,5.593010435226532e-4,FALSE,gut
ABC-type transport,Pseudomonadota,58,25865,2.2,0.53,5.254210691873626e-7,1.5904637769995842e-6,FALSE,gut
Ammonia assimilation (GS-GOGAT),Bacillota,68,106914,0.6,0.52,5.732570022030489e-6,1.591854154877888e-5,FALSE,gut
Aromatic amino acid metabolism (Phe / Tyr / Trp),Pseudomonadota,42,25865,1.6,0.52,1.0032980155522605e-5,2.633657290824684e-5,FALSE,gut
D-amino acid metabolism,Bacteroidota,5,67194,0.1,0.52,0.21389158352135593,0.2774809732168942,FALSE,gut
Glycolysis / EMP,Bacteroidota,237,67194,3.5,0.52,1.9416876645551236e-21,1.3314429699806561e-20,FALSE,gut
ABC transporters,Actinomycetota,3,10619,0.3,0.51,0.38470388821655205,0.45038503986328043,FALSE,gut
Alkaloid biosynthesis,Pseudomonadota,5,25865,0.2,0.51,0.1616403246884538,0.2172445963812819,FALSE,gut
Fermentation,Fusobacteriota,4,4713,0.8,0.51,0.2687372018971354,0.3369242531247668,FALSE,gut
Glycan / glycoside metabolism,Bacteroidota,4,67194,0.1,0.51,0.25420869725100514,0.32231744255221784,FALSE,gut
Terpenoid / carotenoid metabolism,Pseudomonadota,7,25865,0.3,0.51,0.1012876539742217,0.14481979461846167,FALSE,gut
Alanine / aspartate / glutamate metabolism,Fusobacteriota,11,4713,2.3,0.5,0.016276665763067362,0.02707405790292393,FALSE,gut
Folate / one-carbon pool metabolism,Pseudomonadota,73,25865,2.8,0.5,3.5160596079502105e-10,1.373716311943338e-9,FALSE,gut
Plant / glucosinolate / mycotoxin secondary metabolites,Bacillota,6,106914,0.1,0.5,0.17224350170208544,0.2278496715429162,FALSE,gut
Manganese cycling,Pseudomonadota,4,25865,0.2,0.49,0.18179086696193514,0.23860051288753986,FALSE,gut
Sugar interconversion,Pseudomonadota,72,25865,2.8,0.49,1.8464106940079513e-10,7.298752861019667e-10,FALSE,gut
Polyketide / antibiotic biosynthesis,Fusobacteriota,5,4713,1.1,0.48,0.11289433233700719,0.1600527243258836,FALSE,gut
Polysaccharide / complex carbon degradation,Campylobacterota,3,1329,2.3,0.48,0.3076510675496537,0.3800395540319252,FALSE,gut
ABC transporters,Pseudomonadota,7,25865,0.3,0.47,0.045765905616812826,0.07185674900583695,FALSE,gut
Calvin-Benson-Bassham (CBB) cycle,Actinomycetota,6,10619,0.6,0.46,0.058878964530817327,0.088318446796226,FALSE,gut
Polyketide / antibiotic biosynthesis,Actinomycetota,11,10619,1,0.46,0.005588789006659475,0.009988473969348849,FALSE,gut
Cysteine / methionine metabolism,Bacteroidota,477,67194,7.1,0.44,8.705577656457312e-69,2.9250740925696568e-67,FALSE,gut
Fatty acid degradation (β-oxidation),Bacillota,60,106914,0.6,0.43,9.555364555512237e-9,3.3795815691074856e-8,FALSE,gut
