level,category,soil,gut,tot,soil_rate,gut_rate,odds_ratio_soil_gut,log2_OR,p,fdr_q,one_biome_only,enrichment,or_cmh_genecount,log2_OR_cmh_genecount,p_cmh_genecount,fdr_q_cmh_genecount,enrichment_cmh_genecount,degenerate_estimate_genecount,n_strata_genecount,L1_group,n_L1_parents
L2,Fermentation,720,371,1091,0.9377613032798202,1.5586008721443154,0.6012947729143561,-0.7338556777192794,1.3015600907092108e-14,2.834508641988948e-14,FALSE,gut-enriched,0.8641927867070579,-0.2105749058775438,0.022922766638730104,0.033528822844709705,not different,FALSE,5,Multiple L1 categories,2
L2,Folate / one-carbon pool metabolism,3632,1317,4949,4.730484796544871,5.532823042086425,0.8542964906104699,-0.22719123897777102,1.367701720128994e-6,2.310944285735197e-6,FALSE,not different,1.2340427962659575,0.30339242762351876,1.3407990806049763e-10,2.6815981612099525e-10,not different,FALSE,5,Cofactor & vitamin metabolism,1
L2,Formaldehyde oxidation / fixation,75,380,455,0.09768346909164793,1.5964105968054985,0.06109772393106534,-4.032737553340003,2.8693736992699363e-160,2.811986225284538e-159,FALSE,gut-enriched,0.09088869502530891,-3.459755330396041,5.492668171723997e-125,4.140626775607321e-124,gut-enriched,FALSE,5,Carbon fixation & C1 metabolism,1
L2,Gluconeogenesis,1374,226,1600,1.7895611537589902,0.9494441970474806,1.886437660392832,0.9156644253385156,2.6793553589067637e-21,6.909916451917443e-21,FALSE,soil-enriched,2.5909361260068633,1.3734734493933374,1.6200620066654487e-43,8.356109297537578e-43,soil-enriched,FALSE,5,Carbohydrate metabolism,1
L2,Glycan / glycoside metabolism,29,22,51,0.037770941382103865,0.09242377139400254,0.40864894870263757,-1.2910660718710285,0.002479108402512801,0.0032831435600845205,FALSE,gut-enriched,0.5608274347765101,-0.8343711694904884,0.060906279318165654,0.0806596672051383,not different,FALSE,4,Carbohydrate metabolism,1
L2,Glycerolipid / glycerophospholipid metabolism,647,169,816,0.8426827266972828,0.7099826075266559,1.187063790257154,0.2473974643941958,0.04792956591307422,0.054617412319549696,FALSE,not different,1.7248213831875603,0.7864469688868603,2.2428042019462563e-10,4.395896235814662e-10,soil-enriched,FALSE,5,Lipid & fatty acid metabolism,1
L2,Glycine / serine / threonine metabolism,852,407,1259,1.1096842088811205,1.709839770789047,0.6486090128593917,-0.6245790237343972,2.7124354328465673e-12,5.778666791716601e-12,FALSE,gut-enriched,0.9144087736909489,-0.12908884870625634,0.14909026705914571,0.18494741989615543,not different,FALSE,5,Amino acid metabolism,1
L2,Glycolysis,391,198,589,0.5092564855311246,0.8318139425460228,0.6120264536569047,-0.7083340829256063,4.8035756062502484e-8,8.559098352954988e-8,FALSE,gut-enriched,0.8981076275347897,-0.15503974969100998,0.23338517436471246,0.27556321792460026,not different,FALSE,5,Carbon fixation & C1 metabolism,1
L2,Glycolysis / EMP,1530,1288,2818,1.9927427694696178,5.4109917070670575,0.367015435445994,-1.4460873555978648,1.563586782893691e-144,1.3930136793052883e-143,FALSE,gut-enriched,0.5150874899105531,-0.9571105935820822,1.6357753320194747e-69,1.0019123908619281e-68,gut-enriched,FALSE,5,Multiple L1 categories,2
L2,Glyoxylate / dicarboxylate metabolism,249,243,492,0.32430911738427115,1.020862565851937,0.3174601129535767,-1.6553527579915648,3.770769535918042e-35,1.3686496834072894e-34,FALSE,gut-enriched,0.460450214570295,-1.1188829191905016,3.419594913496617e-18,9.308897264518569e-18,gut-enriched,FALSE,5,Carbohydrate metabolism,1
L2,Halogenated aromatic / chlorinated degradation,99,15,114,0.12894217920097528,0.06301620776863809,2.0463097590554487,1.0330245488113714,0.007779826889864537,0.00977465429752211,FALSE,soil-enriched,2.9826324270840754,1.5765861941337866,4.3604195763072695e-5,7.005264237346105e-5,soil-enriched,FALSE,4,Aromatic & xenobiotic degradation,1
L2,Heme / porphyrin / chlorophyll metabolism,443,178,621,0.5769836907680005,0.7477923321878387,0.7714509165707608,-0.3743537263902754,0.0039469123171339444,0.005089439566830612,FALSE,not different,1.1186850973319165,0.16180398407652996,0.22808831525843123,0.2725933523820276,not different,FALSE,5,Cofactor & vitamin metabolism,1
L2,Histidine metabolism,197,98,295,0.25658191214739523,0.4117058907551022,0.6231198185061888,-0.6824184919205702,2.0274999944487826e-4,3.0105302947875865e-4,FALSE,gut-enriched,0.8917556018329638,-0.16527972144085654,0.38445007619975263,0.4380942728787879,not different,FALSE,5,Amino acid metabolism,1
L2,Hydrogenase,18,9,27,0.023444032581995504,0.037809724661182854,0.620044075814569,-0.6895573218088589,0.25710876361869844,0.28310852623182525,FALSE,not different,0.9540177983275289,-0.06791191322750009,0.9064463909888058,0.9450185778393932,not different,FALSE,3,Energy metabolism,1
L2,Inorganic ion transport,47,101,148,0.06121497396409937,0.42430913230882983,0.14421736687820075,-2.793683188280833,2.2692158287195672e-30,6.949473475453675e-30,FALSE,gut-enriched,0.1970138533186572,-2.3436310164167073,3.130578396293673e-25,1.0579195959888964e-24,gut-enriched,FALSE,5,Metabolic substrate transport,1
L2,Iron reduction,42,24,66,0.054702742691322845,0.10082593242982095,0.5425213352367456,-0.8822482206758526,0.019914473404413217,0.023233552305148755,FALSE,gut-enriched,0.8381959327600911,-0.25464057389733524,0.5659455940583265,0.6375019335369654,not different,FALSE,4,Multiple L1 categories,2
L2,Iron uptake / siderophore / Fe homeostasis,475,411,886,0.6186619709137703,1.7266440928606839,0.357905883865214,-1.4823478334650297,2.8185431784829106e-49,1.3810861574566264e-48,FALSE,gut-enriched,0.5089772596436497,-0.9743268946418278,4.338490166731953e-23,1.3715226978701012e-22,gut-enriched,FALSE,5,Other inorganic element cycling,1
L2,Iron-sulfur cluster assembly,71,22,93,0.09247368407342671,0.09242377139400254,1.0005400915230735,7.78977021451846e-4,1,1,FALSE,not different,1.395696406785083,0.48098515927076,0.19943088640111997,0.2412867514482686,not different,FALSE,5,Cofactor & vitamin metabolism,1
L2,Lipid degradation,69,66,135,0.0898687915643161,0.2772713141820076,0.32405785891510447,-1.6256766727724454,1.8699525081654665e-10,3.593242074514034e-10,FALSE,gut-enriched,0.46698382118660736,-1.0985555267472311,9.870242754072315e-6,1.6394640506764186e-5,gut-enriched,FALSE,5,Lipid & fatty acid metabolism,1
L2,Lipid metabolism (other),2021,87,2108,2.632243880456273,0.3654940050581009,7.218247712771039,2.851648653882717,4.646050014597197e-136,3.7942741785877105e-135,FALSE,soil-enriched,10.534404789501497,3.3970368967983315,1.512813403245975e-160,1.8531964189763193e-159,soil-enriched,FALSE,5,Lipid & fatty acid metabolism,1
L2,Lipoic acid metabolism,16,13,29,0.02083914007288489,0.05461404673281968,0.38155817898188654,-1.3900250427311767,0.013865019734496928,0.016774962147909862,FALSE,gut-enriched,0.5122033012008754,-0.9652115436099581,0.09811814081261981,0.12487763376151612,not different,FALSE,4,Cofactor & vitamin metabolism,1
L2,Lysine metabolism,341,545,886,0.44413417280335926,2.2895888822605173,0.1936217381863004,-2.3686871597696713,5.273239405661071e-127,3.9752112442675764e-126,FALSE,gut-enriched,0.28975617013519994,-1.7870887122451673,9.292692666106995e-81,6.071225875189903e-80,gut-enriched,FALSE,5,Amino acid metabolism,1
L2,MFS transport,139,237,376,0.1810400293831875,0.9956560827444819,0.18168173498830245,-2.4605147065003536,4.267166888933699e-59,2.323235306197236e-58,FALSE,gut-enriched,0.26478725507961287,-1.9170944118507685,1.52049218483692e-39,6.773101550637189e-39,gut-enriched,FALSE,5,Metabolic substrate transport,1
L2,Manganese cycling,126,67,193,0.16410822807396852,0.2814723946999168,0.5829664563097546,-0.7785152212520037,4.934169210452287e-4,7.007950472816292e-4,FALSE,gut-enriched,0.9439659140276323,-0.08319332910441748,0.7586684844104118,0.8081468638284822,not different,FALSE,3,Other inorganic element cycling,1
L2,Methanogenesis,23,20,43,0.02995626385477203,0.08402161035818413,0.35651118899973033,-1.4879807389443984,9.986459030141232e-4,0.0013592680346581122,FALSE,gut-enriched,0.5273471257922834,-0.9231751675629567,0.04040554322897303,0.05499643383943552,not different,FALSE,5,Multiple L1 categories,2
L2,Methanotrophy / methane oxidation,811,321,1132,1.056283912444353,1.3485468462488552,0.78304648912531,-0.352830132658973,2.7032563996110486e-4,3.954016823311683e-4,FALSE,not different,1.109607165395249,0.1500490091465525,0.12424762917467454,0.15610599562971927,not different,FALSE,5,Multiple L1 categories,2
L2,NAD(P) / nicotinamide metabolism,829,1484,2313,1.0797279450263484,6.234403488577262,0.17229495714901197,-2.5370476185281032,0,0,FALSE,gut-enriched,0.25760889782946783,-1.9567456697859487,4.5454349251573744e-246,8.909052453308454e-245,gut-enriched,FALSE,5,Cofactor & vitamin metabolism,1
L2,Nitroaromatic / nitrotoluene degradation,13,27,40,0.016931801309218977,0.11342917398354857,0.14925760994846518,-2.744123605239643,5.282253073422121e-9,9.586311133247554e-9,FALSE,gut-enriched,0.20452714935615854,-2.289635732689817,2.350955051572673e-7,4.1141713402521775e-7,gut-enriched,FALSE,5,Aromatic & xenobiotic degradation,1
L2,Nitrogen fixation,44,18,62,0.05730763520043346,0.07561944932236571,0.7578286571385815,-0.40005639878578,0.36904760989180657,0.39311593227605485,FALSE,not different,1.1620160746918464,0.21663002633091427,0.6801238892571172,0.7324411115076647,not different,FALSE,4,Nitrogen metabolism,1
L2,Nucleoside / nucleobase transport,39,6,45,0.050795403927656926,0.025206483107455237,2.015223765120541,1.0109400406918316,0.11557681466838264,0.13018997514369537,FALSE,not different,3.2485019075958323,1.6997745523686405,0.006997095702389057,0.010714302794283244,soil-enriched,FALSE,2,Metabolic substrate transport,1
L2,Organosulfur metabolism,189,177,366,0.24616234211095278,0.7435912516699295,0.33088052494353776,-1.5956177152774684,1.3625872916563832e-24,3.9274574877154576e-24,FALSE,gut-enriched,0.4642951274693436,-1.1068859542212117,5.009002074284742e-13,1.0908493406220104e-12,gut-enriched,FALSE,5,Sulfur metabolism,1
L2,"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",585,2234,2819,0.7619310589148539,9.385213877009166,0.08048358959486487,-3.635161538517679,0,0,FALSE,gut-enriched,0.11573660092023182,-3.111082915698823,0,0,gut-enriched,FALSE,5,Amino acid metabolism,1
L2,Oxidative phosphorylation / ETC,111,52,163,0.14457153425563893,0.21845618693127872,0.6617384159462513,-0.5956670600260371,0.016334841199016154,0.01928692093377811,FALSE,gut-enriched,0.9729500094540438,-0.03956241420319127,0.9332863716691668,0.9627585728797722,not different,FALSE,5,Energy metabolism,1
L2,Oxygenase / monooxygenase / dioxygenase,72,2,74,0.09377613032798202,0.008402161035818412,11.161906647527594,3.48051158047604,8.268350333686934e-7,1.4469613083952134e-6,FALSE,soil-enriched,16.79737985276941,4.070164305973606,9.652248269101155e-8,1.751704315503543e-7,soil-enriched,FALSE,3,Oxygen metabolism,1
L2,PAH / polycyclic aromatic degradation,261,333,594,0.3399384724389348,1.3989598124637657,0.24273631372162366,-2.042538140880708,5.167560922877106e-64,2.978946884952685e-63,FALSE,gut-enriched,0.3720880217621613,-1.426284146838294,8.611107829262844e-35,3.669080727251125e-34,gut-enriched,FALSE,5,Aromatic & xenobiotic degradation,1
L2,PTS / phosphotransferase transport,44,103,147,0.05730763520043346,0.43271129334464825,0.1323887805857515,-2.917147230137518,1.7625300668895207e-32,5.956136088109415e-32,FALSE,gut-enriched,0.20827388939044386,-2.2634461100843293,1.4302291537389238e-22,4.247347183830743e-22,gut-enriched,FALSE,4,Metabolic substrate transport,1
L2,Pantothenate / CoA metabolism,455,81,536,0.5926130458226642,0.3402875219506457,1.7419465236009424,0.8007003350045517,1.2446196481184243e-6,2.139872377466765e-6,FALSE,soil-enriched,2.584332761513744,1.369791844984223,1.1188897012537233e-16,2.9635456952125643e-16,soil-enriched,FALSE,5,Cofactor & vitamin metabolism,1
L2,Pentose phosphate pathway,2131,863,2994,2.7755129684573565,3.625532486955645,0.7648937561340798,-0.38666872373975875,7.477750328517676e-11,1.4656390643894644e-10,FALSE,not different,1.0916757468268101,0.12654440578926382,0.031321578872824045,0.04385021042195366,not different,FALSE,5,Carbohydrate metabolism,1
L2,Phosphatase / phosphate liberation,619,141,760,0.8062142315697343,0.5923523530251981,1.3613295955691154,0.4450164043329734,7.358050016357504e-4,0.0010301270022900506,FALSE,not different,2.1240703480283716,1.0868315481905557,3.0200158232494243e-16,7.588757709703681e-16,soil-enriched,FALSE,5,Phosphorus metabolism,1
L2,Phosphate starvation response,1024,409,1433,1.333704964664633,1.7182419318248654,0.7759043684090674,-0.3660492462429929,2.003319382981218e-5,3.1665370892283766e-5,FALSE,not different,1.151612423401887,0.20365525765033177,0.017292203322556442,0.026071321932469714,not different,FALSE,5,Phosphorus metabolism,1
L2,Phosphonate / phosphite metabolism,578,0,578,0.7528139351329667,0,358.9714093365754,8.487725133402718,2.2889615157602796e-68,1.4019889284031713e-67,TRUE,soil-enriched,93.07979031796296,6.540396055656669,3.525448194532697e-57,2.0323171944953195e-56,soil-enriched,TRUE,5,Phosphorus metabolism,1
L2,Photosynthesis,59,33,92,0.07684432901876304,0.1386356570910038,0.554255535358193,-0.8513768215062149,0.009416063442603548,0.011680686295887945,FALSE,gut-enriched,0.7611645619852799,-0.39371970016748675,0.24947873576840532,0.29105852506313956,not different,FALSE,5,Energy metabolism,1
L2,Plant / glucosinolate / mycotoxin secondary metabolites,22,19,41,0.02865381760021673,0.07982052984027492,0.3589596748342898,-1.4781063126335723,0.0014396631617357568,0.0019326984910973174,FALSE,gut-enriched,0.47501384049984824,-1.0739585449604234,0.02370918581883972,0.034169120738916064,gut-enriched,FALSE,4,Secondary metabolite metabolism,1
