category_L2,gut,soil,tot,soil_rate,gut_rate,p,one_biome_only,odds_ratio_soil_gut,log2_OR,fdr_q,enrichment,n_L1_parents,L1_group,n_strata_genecount,or_cmh_genecount,p_cmh_genecount,degenerate_estimate_genecount,log2_OR_cmh_genecount,fdr_q_cmh_genecount,enrichment_cmh_genecount,neglog10q,sig
Fatty acid biosynthesis,772,2907,3679,3.786211261992274,3.2432341598259073,1.096968781065888e-4,FALSE,1.168054699321977,0.22410783636927314,1.679733446007141e-4,not different,1,Lipid & fatty acid metabolism,5,1.690954329415968,1.1865960328386455e-39,FALSE,0.7578376948662428,5.5374481532470126e-39,soil-enriched,38.25669032701973,TRUE
Fatty acid degradation (β-oxidation),214,172,386,0.2240207557835126,0.8990312308325701,6.820588780728487e-41,FALSE,0.2490119340306091,-2.0057132090028413,2.7850737521307986e-40,gut-enriched,1,Lipid & fatty acid metabolism,5,0.34595661023977486,1.9272178975920934e-27,FALSE,-1.5313369880001024,6.745262641572327e-27,gut-enriched,26.17100113545614,TRUE
Fermentation,371,720,1091,0.9377613032798202,1.5586008721443154,1.3015600907092108e-14,FALSE,0.6012947729143561,-0.7338556777192794,2.834508641988948e-14,gut-enriched,2,Multiple L1 categories,5,0.8641927867070579,0.022922766638730104,FALSE,-0.2105749058775438,0.033528822844709705,not different,1.474581693842912,FALSE
Folate / one-carbon pool metabolism,1317,3632,4949,4.730484796544871,5.532823042086425,1.367701720128994e-6,FALSE,0.8542964906104699,-0.22719123897777102,2.310944285735197e-6,not different,1,Cofactor & vitamin metabolism,5,1.2340427962659575,1.3407990806049763e-10,FALSE,0.30339242762351876,2.6815981612099525e-10,not different,9.571606300848387,FALSE
Formaldehyde oxidation / fixation,380,75,455,0.09768346909164793,1.5964105968054985,2.8693736992699363e-160,FALSE,0.06109772393106534,-4.032737553340003,2.811986225284538e-159,gut-enriched,1,Carbon fixation & C1 metabolism,5,0.09088869502530891,5.492668171723997e-125,FALSE,-3.459755330396041,4.140626775607321e-124,gut-enriched,123.38293391381039,TRUE
Gluconeogenesis,226,1374,1600,1.7895611537589902,0.9494441970474806,2.6793553589067637e-21,FALSE,1.886437660392832,0.9156644253385156,6.909916451917443e-21,soil-enriched,1,Carbohydrate metabolism,5,2.5909361260068633,1.6200620066654487e-43,FALSE,1.3734734493933374,8.356109297537578e-43,soil-enriched,42.07799588810209,TRUE
Glycan / glycoside metabolism,22,29,51,0.037770941382103865,0.09242377139400254,0.002479108402512801,FALSE,0.40864894870263757,-1.2910660718710285,0.0032831435600845205,gut-enriched,1,Carbohydrate metabolism,4,0.5608274347765101,0.060906279318165654,FALSE,-0.8343711694904884,0.0806596672051383,not different,1.0933435741864488,FALSE
Glycerolipid / glycerophospholipid metabolism,169,647,816,0.8426827266972828,0.7099826075266559,0.04792956591307422,FALSE,1.187063790257154,0.2473974643941958,0.054617412319549696,not different,1,Lipid & fatty acid metabolism,5,1.7248213831875603,2.2428042019462563e-10,FALSE,0.7864469688868603,4.395896235814662e-10,soil-enriched,9.35695256755541,TRUE
Glycine / serine / threonine metabolism,407,852,1259,1.1096842088811205,1.709839770789047,2.7124354328465673e-12,FALSE,0.6486090128593917,-0.6245790237343972,5.778666791716601e-12,gut-enriched,1,Amino acid metabolism,5,0.9144087736909489,0.14909026705914571,FALSE,-0.12908884870625634,0.18494741989615543,not different,0.732951722919435,FALSE
Glycolysis,198,391,589,0.5092564855311246,0.8318139425460228,4.8035756062502484e-8,FALSE,0.6120264536569047,-0.7083340829256063,8.559098352954988e-8,gut-enriched,1,Carbon fixation & C1 metabolism,5,0.8981076275347897,0.23338517436471246,FALSE,-0.15503974969100998,0.27556321792460026,not different,0.5597787523611109,FALSE
Glycolysis / EMP,1288,1530,2818,1.9927427694696178,5.4109917070670575,1.563586782893691e-144,FALSE,0.367015435445994,-1.4460873555978648,1.3930136793052883e-143,gut-enriched,2,Multiple L1 categories,5,0.5150874899105531,1.6357753320194747e-69,FALSE,-0.9571105935820822,1.0019123908619281e-68,gut-enriched,67.9991702523497,TRUE
Glyoxylate / dicarboxylate metabolism,243,249,492,0.32430911738427115,1.020862565851937,3.770769535918042e-35,FALSE,0.3174601129535767,-1.6553527579915648,1.3686496834072894e-34,gut-enriched,1,Carbohydrate metabolism,5,0.460450214570295,3.419594913496617e-18,FALSE,-1.1188829191905016,9.308897264518569e-18,gut-enriched,17.03110176265985,TRUE
Halogenated aromatic / chlorinated degradation,15,99,114,0.12894217920097528,0.06301620776863809,0.007779826889864537,FALSE,2.0463097590554487,1.0330245488113714,0.00977465429752211,soil-enriched,1,Aromatic & xenobiotic degradation,4,2.9826324270840754,4.3604195763072695e-5,FALSE,1.5765861941337866,7.005264237346105e-5,soil-enriched,4.15457547855708,TRUE
Heme / porphyrin / chlorophyll metabolism,178,443,621,0.5769836907680005,0.7477923321878387,0.0039469123171339444,FALSE,0.7714509165707608,-0.3743537263902754,0.005089439566830612,not different,1,Cofactor & vitamin metabolism,5,1.1186850973319165,0.22808831525843123,FALSE,0.16180398407652996,0.2725933523820276,not different,0.5644847393267496,FALSE
Histidine metabolism,98,197,295,0.25658191214739523,0.4117058907551022,2.0274999944487826e-4,FALSE,0.6231198185061888,-0.6824184919205702,3.0105302947875865e-4,gut-enriched,1,Amino acid metabolism,5,0.8917556018329638,0.38445007619975263,FALSE,-0.16527972144085654,0.4380942728787879,not different,0.35843242423199867,FALSE
Hydrogenase,9,18,27,0.023444032581995504,0.037809724661182854,0.25710876361869844,FALSE,0.620044075814569,-0.6895573218088589,0.28310852623182525,not different,1,Energy metabolism,3,0.9540177983275289,0.9064463909888058,FALSE,-0.06791191322750009,0.9450185778393932,not different,0.02455965374065456,FALSE
Inorganic ion transport,101,47,148,0.06121497396409937,0.42430913230882983,2.2692158287195672e-30,FALSE,0.14421736687820075,-2.793683188280833,6.949473475453675e-30,gut-enriched,1,Metabolic substrate transport,5,0.1970138533186572,3.130578396293673e-25,FALSE,-2.3436310164167073,1.0579195959888964e-24,gut-enriched,23.975547338298252,TRUE
Iron reduction,24,42,66,0.054702742691322845,0.10082593242982095,0.019914473404413217,FALSE,0.5425213352367456,-0.8822482206758526,0.023233552305148755,gut-enriched,2,Multiple L1 categories,4,0.8381959327600911,0.5659455940583265,FALSE,-0.25464057389733524,0.6375019335369654,not different,0.19551849368120536,FALSE
Iron uptake / siderophore / Fe homeostasis,411,475,886,0.6186619709137703,1.7266440928606839,2.8185431784829106e-49,FALSE,0.357905883865214,-1.4823478334650297,1.3810861574566264e-48,gut-enriched,1,Other inorganic element cycling,5,0.5089772596436497,4.338490166731953e-23,FALSE,-0.9743268946418278,1.3715226978701012e-22,gut-enriched,21.862797000689298,TRUE
Iron-sulfur cluster assembly,22,71,93,0.09247368407342671,0.09242377139400254,1,FALSE,1.0005400915230735,7.78977021451846e-4,1,not different,1,Cofactor & vitamin metabolism,5,1.395696406785083,0.19943088640111997,FALSE,0.48098515927076,0.2412867514482686,not different,0.6174665236397889,FALSE
Lipid degradation,66,69,135,0.0898687915643161,0.2772713141820076,1.8699525081654665e-10,FALSE,0.32405785891510447,-1.6256766727724454,3.593242074514034e-10,gut-enriched,1,Lipid & fatty acid metabolism,5,0.46698382118660736,9.870242754072315e-6,FALSE,-1.0985555267472311,1.6394640506764186e-5,gut-enriched,4.785298101876001,TRUE
Lipid metabolism (other),87,2021,2108,2.632243880456273,0.3654940050581009,4.646050014597197e-136,FALSE,7.218247712771039,2.851648653882717,3.7942741785877105e-135,soil-enriched,1,Lipid & fatty acid metabolism,5,10.534404789501497,1.512813403245975e-160,FALSE,3.3970368967983315,1.8531964189763193e-159,soil-enriched,158.7320785476769,TRUE
Lipoic acid metabolism,13,16,29,0.02083914007288489,0.05461404673281968,0.013865019734496928,FALSE,0.38155817898188654,-1.3900250427311767,0.016774962147909862,gut-enriched,1,Cofactor & vitamin metabolism,4,0.5122033012008754,0.09811814081261981,FALSE,-0.9652115436099581,0.12487763376151612,not different,0.903515339078026,FALSE
Lysine metabolism,545,341,886,0.44413417280335926,2.2895888822605173,5.273239405661071e-127,FALSE,0.1936217381863004,-2.3686871597696713,3.9752112442675764e-126,gut-enriched,1,Amino acid metabolism,5,0.28975617013519994,9.292692666106995e-81,FALSE,-1.7870887122451673,6.071225875189903e-80,gut-enriched,79.21672360924141,TRUE
MFS transport,237,139,376,0.1810400293831875,0.9956560827444819,4.267166888933699e-59,FALSE,0.18168173498830245,-2.4605147065003536,2.323235306197236e-58,gut-enriched,1,Metabolic substrate transport,5,0.26478725507961287,1.52049218483692e-39,FALSE,-1.9170944118507685,6.773101550637189e-39,gut-enriched,38.16921241286983,TRUE
Manganese cycling,67,126,193,0.16410822807396852,0.2814723946999168,4.934169210452287e-4,FALSE,0.5829664563097546,-0.7785152212520037,7.007950472816292e-4,gut-enriched,1,Other inorganic element cycling,3,0.9439659140276323,0.7586684844104118,FALSE,-0.08319332910441748,0.8081468638284822,not different,0.09250970809371521,FALSE
Methanogenesis,20,23,43,0.02995626385477203,0.08402161035818413,9.986459030141232e-4,FALSE,0.35651118899973033,-1.4879807389443984,0.0013592680346581122,gut-enriched,2,Multiple L1 categories,5,0.5273471257922834,0.04040554322897303,FALSE,-0.9231751675629567,0.05499643383943552,not different,1.2596654707615247,FALSE
Methanotrophy / methane oxidation,321,811,1132,1.056283912444353,1.3485468462488552,2.7032563996110486e-4,FALSE,0.78304648912531,-0.352830132658973,3.954016823311683e-4,not different,2,Multiple L1 categories,5,1.109607165395249,0.12424762917467454,FALSE,0.1500490091465525,0.15610599562971927,not different,0.8065804164833992,FALSE
NAD(P) / nicotinamide metabolism,1484,829,2313,1.0797279450263484,6.234403488577262,0,FALSE,0.17229495714901197,-2.5370476185281032,0,gut-enriched,1,Cofactor & vitamin metabolism,5,0.25760889782946783,4.5454349251573744e-246,FALSE,-1.9567456697859487,8.909052453308454e-245,gut-enriched,244.05016848408687,TRUE
Nitroaromatic / nitrotoluene degradation,27,13,40,0.016931801309218977,0.11342917398354857,5.282253073422121e-9,FALSE,0.14925760994846518,-2.744123605239643,9.586311133247554e-9,gut-enriched,1,Aromatic & xenobiotic degradation,5,0.20452714935615854,2.350955051572673e-7,FALSE,-2.289635732689817,4.1141713402521775e-7,gut-enriched,6.385717625481225,TRUE
Nitrogen fixation,18,44,62,0.05730763520043346,0.07561944932236571,0.36904760989180657,FALSE,0.7578286571385815,-0.40005639878578,0.39311593227605485,not different,1,Nitrogen metabolism,4,1.1620160746918464,0.6801238892571172,FALSE,0.21663002633091427,0.7324411115076647,not different,0.13522728698116776,FALSE
Nucleoside / nucleobase transport,6,39,45,0.050795403927656926,0.025206483107455237,0.11557681466838264,FALSE,2.015223765120541,1.0109400406918316,0.13018997514369537,not different,1,Metabolic substrate transport,2,3.2485019075958323,0.006997095702389057,FALSE,1.6997745523686405,0.010714302794283244,soil-enriched,1.9700360842998987,TRUE
Organosulfur metabolism,177,189,366,0.24616234211095278,0.7435912516699295,1.3625872916563832e-24,FALSE,0.33088052494353776,-1.5956177152774684,3.9274574877154576e-24,gut-enriched,1,Sulfur metabolism,5,0.4642951274693436,5.009002074284742e-13,FALSE,-1.1068859542212117,1.0908493406220104e-12,gut-enriched,11.962235226547012,TRUE
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",2234,585,2819,0.7619310589148539,9.385213877009166,0,FALSE,0.08048358959486487,-3.635161538517679,0,gut-enriched,1,Amino acid metabolism,5,0.11573660092023182,0,FALSE,-3.111082915698823,0,gut-enriched,307.6526555685888,TRUE
