id	db	name	category_L1	category_L2	category_L3
HMMsoil90205	FOAM	E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]; K08884; serine/threonine protein kinase, bacterial [EC:2.7.11.1]; impN; type VI secretion system protein ImpN [EC:2.7.11.1]	Secretion & extracellular processes	Secretion system	
HMMsoil90544	FOAM	E4.6.1.2; guanylate cyclase, other [EC:4.6.1.2]; GUCY1A; guanylate cyclase soluble subunit alpha [EC:4.6.1.2]; GUCY1B; guanylate cyclase soluble subunit beta [EC:4.6.1.2]; GUCY2C; heat-stable enterotoxin receptor [EC:4.6.1.2]; GUCY2D_E; guanylate cyclase 2D/E [EC:4.6.1.2]; ANPRA, NPR1; atrial natriuretic peptide receptor A [EC:4.6.1.2]; ANPRB, NPR2; atrial natriuretic peptide receptor B [EC:4.6.1.2]	Toxin-antitoxin systems	Toxin	
HMMsoil91020	FOAM	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]; MAPK4_6; mitogen-activated protein kinase 4/6 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil91078	FOAM	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]; MPK6; mitogen-activated protein kinase 6 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil92394	FOAM	E4.6.1.2; guanylate cyclase, other [EC:4.6.1.2]; GUCY1A; guanylate cyclase soluble subunit alpha [EC:4.6.1.2]; GUCY1B; guanylate cyclase soluble subunit beta [EC:4.6.1.2]; GUCY2C; heat-stable enterotoxin receptor [EC:4.6.1.2]; GUCY2D_E; guanylate cyclase 2D/E [EC:4.6.1.2]; ANPRA, NPR1; atrial natriuretic peptide receptor A [EC:4.6.1.2]; ANPRB, NPR2; atrial natriuretic peptide receptor B [EC:4.6.1.2]	Toxin-antitoxin systems	Toxin	
HMMsoil93491	FOAM	K08884; serine/threonine protein kinase, bacterial [EC:2.7.11.1]; impN; type VI secretion system protein ImpN [EC:2.7.11.1]	Secretion & extracellular processes	Secretion system	
HMMsoil951	FOAM	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]; MPK6; mitogen-activated protein kinase 6 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil9519	FOAM	SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil95682	FOAM	MAPK4_6; mitogen-activated protein kinase 4/6 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil96343	FOAM	K08884; serine/threonine protein kinase, bacterial [EC:2.7.11.1]; impN; type VI secretion system protein ImpN [EC:2.7.11.1]	Secretion & extracellular processes	Secretion system	
HMMsoil97222	FOAM	gspO; general secretion pathway protein O [EC:3.4.23.43] [EC:2.1.1.-]; pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43] [EC:2.1.1.-]	Secretion & extracellular processes	Secretion system	
HMMsoil99642	FOAM	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]; MAPK7; mitogen-activated protein kinase 7 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
K01993	KEGG	ABC-2.TX; HlyD family secretion protein	Secretion & extracellular processes	Secretion system	
K02005	KEGG	ABC.CD.TX; HlyD family secretion protein	Secretion & extracellular processes	Secretion system	
K02022	KEGG	ABC.MR.TX; HlyD family secretion protein	Secretion & extracellular processes	Secretion system	
K02382	KEGG	flbA; flagellar protein FlbA	Motility & cell-surface dynamics	Flagellar assembly / function	
K02383	KEGG	flbB; flagellar protein FlbB	Motility & cell-surface dynamics	Flagellar assembly / function	
K02384	KEGG	flbC; flagellar protein FlbC	Motility & cell-surface dynamics	Flagellar assembly / function	
K02385	KEGG	flbD; flagellar protein FlbD	Motility & cell-surface dynamics	Flagellar assembly / function	
K02386	KEGG	flgA; flagellar basal body P-ring formation protein FlgA	Motility & cell-surface dynamics	Flagellar assembly / function	
K02387	KEGG	flgB; flagellar basal-body rod protein FlgB	Motility & cell-surface dynamics	Flagellar assembly / function	
K02388	KEGG	flgC; flagellar basal-body rod protein FlgC	Motility & cell-surface dynamics	Flagellar assembly / function	
K02389	KEGG	flgD; flagellar basal-body rod modification protein FlgD	Motility & cell-surface dynamics	Flagellar assembly / function	
K02390	KEGG	flgE; flagellar hook protein FlgE	Motility & cell-surface dynamics	Flagellar assembly / function	
K02391	KEGG	flgF; flagellar basal-body rod protein FlgF	Motility & cell-surface dynamics	Flagellar assembly / function	
K02392	KEGG	flgG; flagellar basal-body rod protein FlgG	Motility & cell-surface dynamics	Flagellar assembly / function	
K02393	KEGG	flgH; flagellar L-ring protein FlgH	Motility & cell-surface dynamics	Flagellar assembly / function	
K02394	KEGG	flgI; flagellar P-ring protein FlgI	Motility & cell-surface dynamics	Flagellar assembly / function	
K02396	KEGG	flgK; flagellar hook-associated protein 1	Motility & cell-surface dynamics	Flagellar assembly / function	
K02397	KEGG	flgL; flagellar hook-associated protein 3 FlgL	Motility & cell-surface dynamics	Flagellar assembly / function	
K02399	KEGG	flgN; flagellar biosynthesis protein FlgN	Motility & cell-surface dynamics	Flagellar assembly / function	
K02400	KEGG	flhA; flagellar biosynthesis protein FlhA	Motility & cell-surface dynamics	Flagellar assembly / function	
K02401	KEGG	flhB; flagellar biosynthesis protein FlhB	Motility & cell-surface dynamics	Flagellar assembly / function	
K02404	KEGG	flhF; flagellar biosynthesis protein FlhF	Motility & cell-surface dynamics	Flagellar assembly / function	
K02407	KEGG	fliD; flagellar hook-associated protein 2	Motility & cell-surface dynamics	Flagellar assembly / function	
K02408	KEGG	fliE; flagellar hook-basal body complex protein FliE	Motility & cell-surface dynamics	Flagellar assembly / function	
K02409	KEGG	fliF; flagellar M-ring protein FliF	Motility & cell-surface dynamics	Flagellar assembly / function	
K02410	KEGG	fliG; flagellar motor switch protein FliG	Motility & cell-surface dynamics	Flagellar assembly / function	
K02411	KEGG	fliH; flagellar assembly protein FliH	Motility & cell-surface dynamics	Flagellar assembly / function	
K02412	KEGG	fliI; flagellum-specific ATP synthase [EC:7.4.2.8]	Motility & cell-surface dynamics	Flagellar assembly / function	
K02413	KEGG	fliJ; flagellar protein FliJ	Motility & cell-surface dynamics	Flagellar assembly / function	
K02414	KEGG	fliK; flagellar hook-length control protein FliK	Motility & cell-surface dynamics	Flagellar assembly / function	
K02415	KEGG	fliL; flagellar protein FliL	Motility & cell-surface dynamics	Flagellar assembly / function	
K02416	KEGG	fliM; flagellar motor switch protein FliM	Motility & cell-surface dynamics	Flagellar assembly / function	
K02417	KEGG	fliN; flagellar motor switch protein FliN	Motility & cell-surface dynamics	Flagellar assembly / function	
K02418	KEGG	fliO, fliZ; flagellar protein FliO/FliZ	Motility & cell-surface dynamics	Flagellar assembly / function	
K02419	KEGG	fliP; flagellar biosynthesis protein FliP	Motility & cell-surface dynamics	Flagellar assembly / function	
