id	db	name	category_L1	category_L2	category_L3
HMMsoil10136	FOAM	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil10136	FOAM	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]	Transcriptional regulation	General regulator	
HMMsoil101362	FOAM	uhpB; two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101363	FOAM	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101393	FOAM	yesM; two-component system, sensor histidine kinase YesM [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101394	FOAM	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]; K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil10140	FOAM	kinA; two-component system, sporulation sensor kinase A [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101412	FOAM	degS; two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101422	FOAM	resE; two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101430	FOAM	bceS; two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS [EC:2.7.13.3]; K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101455	FOAM	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]; K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101465	FOAM	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101471	FOAM	flgS; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101479	FOAM	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101497	FOAM	degS; two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101503	FOAM	evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101511	FOAM	glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101511	FOAM	glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]	Transcriptional regulation	General regulator	
HMMsoil10153	FOAM	flgS; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101587	FOAM	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101587	FOAM	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	Transcriptional regulation	General regulator	
HMMsoil101641	FOAM	envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101643	FOAM	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101644	FOAM	arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101648	FOAM	cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101657	FOAM	rcsC; two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101674	FOAM	qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]; K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101684	FOAM	flgS; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101694	FOAM	glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101694	FOAM	glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]	Transcriptional regulation	General regulator	
HMMsoil101735	FOAM	K11527; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101735	FOAM	K11527; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]	Transcriptional regulation	General regulator	
HMMsoil101752	FOAM	rstB; two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101765	FOAM	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101768	FOAM	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101773	FOAM	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101774	FOAM	qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]; K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
HMMsoil101776	FOAM	K02480; two-component system, NarL family, sensor kinase [EC:2.7.13.3]	Signal transduction & two-component systems	Two-component / sensor-response	
