id	db	name	filter_essential	filter_glucan	filter_lipid	filter_methyl	filter_nucleotide
K03539	KEGG	RPP1, RPP30; ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]	True	False	False	False	False
K03540	KEGG	RPR2, RPP21; ribonuclease P protein subunit RPR2 [EC:3.1.26.5]	True	False	False	False	False
K03581	KEGG	recD; exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	True	False	False	False	False
K03582	KEGG	recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]	True	False	False	False	False
K03583	KEGG	recC; exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]	True	False	False	False	False
K03601	KEGG	xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	True	False	False	False	False
K03602	KEGG	xseB; exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	True	False	False	False	False
K03623	KEGG	yhcO; ribonuclease inhibitor	True	False	False	False	False
K03683	KEGG	rnt; ribonuclease T [EC:3.1.13.-]	True	False	False	False	False
K03684	KEGG	rnd; ribonuclease D [EC:3.1.13.5]	True	False	False	False	False
K03685	KEGG	rnc, DROSHA, RNT1; ribonuclease III [EC:3.1.26.3]	True	False	False	False	False
K03698	KEGG	cbf, cbf1; 3'-5' exoribonuclease [EC:3.1.-.-]	True	False	False	False	False
K03701	KEGG	uvrA; excinuclease ABC subunit A	True	False	False	False	False
K03702	KEGG	uvrB; excinuclease ABC subunit B	True	False	False	False	False
K03703	KEGG	uvrC; excinuclease ABC subunit C	True	False	False	False	False
K03728	KEGG	NR1D1; nuclear receptor subfamily 1 group D member 1	True	False	False	False	False
K03776	KEGG	aer; aerotaxis receptor	True	False	False	False	False
K03914	KEGG	F2R, PAR1; coagulation factor II (thrombin) receptor	True	False	False	False	False
K03915	KEGG	BDKRB1; bradykinin receptor B1	True	False	False	False	False
K03916	KEGG	BDKRB2; bradykinin receptor B2	True	False	False	False	False
K03919	KEGG	alkB; DNA oxidative demethylase [EC:1.14.11.33]	True	False	False	False	False
K03985	KEGG	PLAUR, CD87; plasminogen activator, urokinase receptor	True	False	False	False	False
K04009	KEGG	C3AR1; C3a anaphylatoxin chemotactic receptor	True	False	False	False	False
K04010	KEGG	C5AR1, CD88; C5a anaphylatoxin chemotactic receptor 1	True	False	False	False	False
K04011	KEGG	CR1, CD35; complement component (3b/4b) receptor 1	True	False	False	False	False
K04012	KEGG	CR2, CD21; complement receptor type 2	True	False	False	False	False
K04094	KEGG	trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]	True	False	False	False	False
K04129	KEGG	CHRM1; muscarinic acetylcholine receptor M1	True	False	False	False	False
K04130	KEGG	CHRM2; muscarinic acetylcholine receptor M2	True	False	False	False	False
K04131	KEGG	CHRM3; muscarinic acetylcholine receptor M3	True	False	False	False	False
K04132	KEGG	CHRM4; muscarinic acetylcholine receptor M4	True	False	False	False	False
K04133	KEGG	CHRM5; muscarinic acetylcholine receptor M5	True	False	False	False	False
K04134	KEGG	CHRMN; muscarinic acetylcholine receptor	True	False	False	False	False
K04135	KEGG	ADRA1A; adrenergic receptor alpha-1A	True	False	False	False	False
K04136	KEGG	ADRA1B; adrenergic receptor alpha-1B	True	False	False	False	False
K04137	KEGG	ADRA1D; adrenergic receptor alpha-1D	True	False	False	False	False
K04138	KEGG	ADRA2A; adrenergic receptor alpha-2A	True	False	False	False	False
K04139	KEGG	ADRA2B; adrenergic receptor alpha-2B	True	False	False	False	False
K04140	KEGG	ADRA2C; adrenergic receptor alpha-2C	True	False	False	False	False
K04141	KEGG	ADRB1; adrenergic receptor beta-1	True	False	False	False	False
