category_L1	category_L2	category_L3
Phosphorus metabolism	Phosphatase / phosphate liberation	Acid phosphatase
Phosphorus metabolism	Phosphatase / phosphate liberation	Alkaline phosphatase
Phosphorus metabolism	Phosphatase / phosphate liberation	
Phosphorus metabolism	Phosphate starvation response	
Phosphorus metabolism	Phosphate transport	Pi transport (Pst, Pit)
Phosphorus metabolism	Phosphate transport	
Phosphorus metabolism	Phosphonate / phosphite metabolism	
Phosphorus metabolism	Polyphosphate metabolism	
Secondary metabolite metabolism	Alkaloid biosynthesis	
Secondary metabolite metabolism	Other secondary metabolite metabolism	
Secondary metabolite metabolism	Pigment biosynthesis (carotenoid, melanin, betalain, anthocyanin)	
Secondary metabolite metabolism	Plant / glucosinolate / mycotoxin secondary metabolites	
Secondary metabolite metabolism	Polyketide / antibiotic biosynthesis	
Secondary metabolite metabolism	Polyphenol / flavonoid metabolism	
Secondary metabolite metabolism	Terpenoid / carotenoid metabolism	
Secondary metabolite metabolism	Zeatin biosynthesis	
Secondary metabolite metabolism		
Sulfur metabolism	Elemental sulfur (S0) oxidation	
Sulfur metabolism	Elemental sulfur (S0) reduction	
Sulfur metabolism	Organosulfur metabolism	DMSO / DMS metabolism
Sulfur metabolism	Organosulfur metabolism	DMSP / methanethiol metabolism
Sulfur metabolism	Organosulfur metabolism	Methanesulfonate metabolism
Sulfur metabolism	Organosulfur metabolism	Sulfonate / taurine degradation
Sulfur metabolism	Organosulfur metabolism	
Sulfur metabolism	Sulfate reduction	Assimilatory sulfate reduction
Sulfur metabolism	Sulfate reduction	Dissimilatory sulfate reduction
Sulfur metabolism	Sulfate reduction	
Sulfur metabolism	Sulfide oxidation	
Sulfur metabolism	Sulfite oxidation	
Sulfur metabolism	Sulfite reduction	Assimilatory sulfite reduction
Sulfur metabolism	Sulfite reduction	Dissimilatory sulfite reduction
Sulfur metabolism	Sulfite reduction	
Sulfur metabolism	Sulfur amino acid metabolism	Cysteine biosynthesis / metabolism
Sulfur metabolism	Sulfur amino acid metabolism	Methionine biosynthesis / metabolism
