id	db	name
K00106	KEGG	XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	KEGG	ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
K00108	KEGG	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K00109	KEGG	L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	KEGG	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	KEGG	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	KEGG	glpC; glycerol-3-phosphate dehydrogenase subunit C
K00114	KEGG	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	KEGG	GLD; glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
K00116	KEGG	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	KEGG	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	KEGG	gfo; glucose-fructose oxidoreductase [EC:1.1.99.28]
K00119	KEGG	E1.1.99.36; alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]
K00120	KEGG	fgd2; F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]
K00121	KEGG	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	KEGG	FDH; formate dehydrogenase [EC:1.17.1.9]
K00123	KEGG	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	KEGG	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit
K00125	KEGG	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	KEGG	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	KEGG	fdoI, fdsG; formate dehydrogenase subunit gamma
K00128	KEGG	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	KEGG	ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	KEGG	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	KEGG	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	KEGG	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	KEGG	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	KEGG	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00135	KEGG	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
