id,db,name
K03654,KEGG,ATP-dependent DNA helicase RecQ [EC:5.6.2.4]
K26661,KEGG,Mesyanzhinovviridae DNA polymerase
K02473,KEGG,UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]
K16364,KEGG,gliomedin
K14436,KEGG,chromodomain-helicase-DNA-binding protein 6 [EC:5.6.2.-]
K21211,KEGG,"NDP-hexose 4,6-dehydratase"
K08678,KEGG,UDP-glucuronate decarboxylase [EC:4.1.1.35]
K21332,KEGG,dTDP-alpha-D-glucuronic acid decarboxylase [EC:1.1.1.-]
K12453,KEGG,CDP-paratose synthetase [EC:1.1.1.342]
K17947,KEGG,dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]
K11786,KEGG,ATP-dependent helicase STH1/SNF2 [EC:5.6.2.-]
K12454,KEGG,CDP-paratose 2-epimerase [EC:5.1.3.10]
K21512,KEGG,Enterobacteria phage terminase large subunit [EC:3.1.21.4]
K07273,KEGG,lysozyme
K20283,KEGG,golgin subfamily A member 4
K12450,KEGG,"UDP-glucose 4,6-dehydratase [EC:4.2.1.76]"
K26662,KEGG,Mesyanzhinovviridae DNA polymerase I
K04773,KEGG,protease IV [EC:3.4.21.-]
K03791,KEGG,putative chitinase
K13313,KEGG,dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase [EC:1.1.1.364]
K22252,KEGG,GDP-6-deoxy-D-talose 4-dehydrogenase [EC:1.1.1.135]
K10066,KEGG,collectin sub-family member 11
K00067,KEGG,dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K03503,KEGG,DNA polymerase V [EC:3.4.21.-]
K26866,KEGG,Ruegeria phage superfamily II DNA/RNA helicase
K26908,KEGG,Mimiviridae putative ATP-dependent RNA helicase
K04485,KEGG,DNA repair protein RadA/Sms
K12448,KEGG,UDP-arabinose 4-epimerase [EC:5.1.3.5]
K26529,KEGG,Poxviridae dUTP diphosphatase [EC:3.6.1.23]
K02342,KEGG,DNA polymerase III subunit epsilon [EC:2.7.7.7]
K26920,KEGG,Prasinovirus putative VV A18 helicase
K18959,KEGG,Straboviridae ATP-dependent DNA helicase UvsW [EC:5.6.2.4]
K14435,KEGG,chromodomain-helicase-DNA-binding protein 5 [EC:5.6.2.-]
K02319,KEGG,"DNA polymerase, archaea type [EC:2.7.7.7]"
K07110,KEGG,"XRE family transcriptional regulator, fatty acid utilization regulator"
K00390,KEGG,phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
K23786,KEGG,5'-3' exonuclease [EC:3.1.11.-]
K21523,KEGG,"Straboviridae terminase, large subunit [EC:3.1.-.-]"
K17733,KEGG,peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]
K16148,KEGG,alpha-maltose-1-phosphate synthase [EC:2.4.1.342]
K11144,KEGG,primosomal protein DnaI
K07012,KEGG,CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4]
K21214,KEGG,NDP-hexose 4-ketoreductase
K02313,KEGG,chromosomal replication initiator protein
K26041,KEGG,Straboviridae intron-associated endonuclease 1 [EC:3.1.-.-]
K21238,KEGG,Autographiviridae DNA-directed DNA polymerase [EC:2.7.7.7]
K16898,KEGG,ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]
K22407,KEGG,thymine dioxygenase / DNA helicase [EC:1.14.11.6 5.6.2.-]
K01709,KEGG,"CDP-glucose 4,6-dehydratase [EC:4.2.1.45]"
K07455,KEGG,recombination protein RecT
K13668,KEGG,phosphatidyl-myo-inositol dimannoside synthase [EC:2.4.1.346]
K12943,KEGG,lipoprotein YgeR
K21528,KEGG,Enterobacteriaceae phage serine recombinase [EC:3.1.22.- 6.5.1.-]
K20091,KEGG,chromodomain-helicase-DNA-binding protein 2 [EC:5.6.2.-]
K00527,KEGG,ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]
K10065,KEGG,collectin sub-family member 10
K00091,KEGG,dihydroflavonol-4-reductase [EC:1.1.1.219]
K26670,KEGG,Mitoviridae RNA-directed RNA polymerase
K22226,KEGG,Fe-coproporphyrin III synthase
K10046,KEGG,"GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]"
K16899,KEGG,ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]
K03274,KEGG,ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
K02377,KEGG,GDP-L-fucose synthase [EC:1.1.1.271]
K10807,KEGG,ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]
K16697,KEGG,teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-]
K26826,KEGG,Clostridium phage peptidase
K06194,KEGG,lipoprotein NlpD
K00986,KEGG,RNA-directed DNA polymerase [EC:2.7.7.49]
K03581,KEGG,exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
K06905,KEGG,Bacteriophage probable baseplate hub protein
K06903,KEGG,Bacteriophage baseplate protein W
K12455,KEGG,CDP-abequose synthase [EC:1.1.1.341]
K04494,KEGG,chromodomain helicase DNA binding protein 8 [EC:5.6.2.-]
K21793,KEGG,oxidoreductase
K26891,KEGG,Kyanoviridae DNA primase/helicase
K20282,KEGG,GRIP and coiled-coil domain-containing protein 2
K26963,KEGG,Enterobacteria phage portal protein
K03553,KEGG,recombination protein RecA
K11367,KEGG,chromodomain-helicase-DNA-binding protein 1 [EC:5.6.2.-]
K15521,KEGG,D-inositol-3-phosphate glycosyltransferase [EC:2.4.1.250]
K08309,KEGG,soluble lytic murein transglycosylase [EC:4.2.2.-]
K10779,KEGG,transcriptional regulator ATRX
K19304,KEGG,murein DD-endopeptidase [EC:3.4.24.-]
K18981,KEGG,uronate dehydrogenase [EC:1.1.1.203]
