level,ranking,coverage,precision
specific,calibrated,0.11652406034749863,0.9824094906933933
specific,calibrated,0.11900278856924947,0.9805728019226918
specific,calibrated,0.1214815167910003,0.9793996468510888
specific,calibrated,0.12396024501275114,0.9776965968083061
specific,calibrated,0.12643897323450198,0.9770028275212064
specific,calibrated,0.12891770145625284,0.9770752449621002
specific,calibrated,0.13139642967800366,0.9755124251768547
specific,calibrated,0.13387515789975452,0.9741855082784404
specific,calibrated,0.13635388612150534,0.9730816290858242
specific,calibrated,0.1388326143432562,0.9720171673819743
specific,calibrated,0.14131134256500702,0.9706527238994771
specific,calibrated,0.14379007078675787,0.9686723023371457
specific,calibrated,0.1462687990085087,0.9669219488349357
specific,calibrated,0.14874752723025955,0.9653901618330396
specific,calibrated,0.1512262554520104,0.9640661938534278
specific,calibrated,0.15370498367376123,0.9629399906962319
specific,calibrated,0.15618371189551208,0.9609339233938654
specific,calibrated,0.1586624401172629,0.9588403184617695
specific,calibrated,0.16114116833901376,0.957698565300991
specific,calibrated,0.1636198965607646,0.9555717407137655
specific,calibrated,0.16609862478251544,0.9542258573683455
specific,calibrated,0.16857735300426627,0.9533437013996889
specific,calibrated,0.17105608122601712,0.9527657795736381
specific,calibrated,0.17353480944776795,0.949732179645653
specific,calibrated,0.1760135376695188,0.9478672985781991
specific,calibrated,0.17849226589126962,0.9457871544932568
specific,calibrated,0.18097099411302048,0.9442907941525089
specific,calibrated,0.1834497223347713,0.9433545537222294
specific,calibrated,0.18592845055652216,0.9412895782591976
specific,calibrated,0.18840717877827298,0.9395319418089817
specific,calibrated,0.19088590700002384,0.9371956548882507
specific,calibrated,0.19336463522177466,0.9355355602120055
specific,calibrated,0.19584336344352551,0.9335523913837167
specific,calibrated,0.19832209166527637,0.9319793294075231
specific,calibrated,0.2008008198870272,0.9305637982195846
specific,calibrated,0.20327954810877805,0.9291827881345996
specific,calibrated,0.20575827633052887,0.9270242094289355
specific,calibrated,0.20823700455227973,0.9251459310976308
specific,calibrated,0.21071573277403055,0.9225200769143762
specific,calibrated,0.2131944609957814,0.9204024594745668
specific,calibrated,0.21567318921753223,0.9183335175157475
specific,calibrated,0.21815191743928308,0.9153283076586911
specific,calibrated,0.2206306456610339,0.9130387814626769
specific,calibrated,0.22310937388278476,0.911013780578998
specific,calibrated,0.2255881021045356,0.908716323296355
specific,calibrated,0.22806683032628644,0.9057372766224265
specific,calibrated,0.23054555854803727,0.902925669389021
specific,calibrated,0.23302428676978812,0.9005830009205278
specific,calibrated,0.23550301499153894,0.898593259791519
specific,calibrated,0.2379817432132898,0.8974461692538809
specific,calibrated,0.24046047143504062,0.8953315492120131
specific,calibrated,0.24293919965679148,0.8931619739036594
specific,calibrated,0.24541792787854233,0.8908419928134408
specific,calibrated,0.24789665610029316,0.8888568406883953
specific,calibrated,0.250375384322044,0.8865302237029986
specific,calibrated,0.25285411254379486,0.8846262607220284
specific,calibrated,0.2553328407655457,0.8823858863063567
specific,calibrated,0.2578115689872965,0.8797263566608117
specific,calibrated,0.26029029720904734,0.8773006134969326
specific,calibrated,0.2627690254307982,0.8755555555555555
specific,calibrated,0.26524775365254905,0.8730344145925061
specific,calibrated,0.26772648187429987,0.8706489806819193
specific,calibrated,0.2702052100960507,0.8677780718002999
specific,calibrated,0.2726839383178016,0.8655711913294293
specific,calibrated,0.2751626665395524,0.8634906886097878
specific,calibrated,0.27764139476130323,0.8615331788136321
specific,calibrated,0.28012012298305405,0.8592699736237557
specific,calibrated,0.28259885120480494,0.856709116977313
specific,calibrated,0.28507757942655576,0.853440347797007
specific,calibrated,0.2875563076483066,0.8513883133029424
specific,calibrated,0.29003503587005747,0.849946585586326
specific,calibrated,0.2925137640918083,0.8478774545750836
specific,calibrated,0.2949924923135591,0.8451159408580431
specific,calibrated,0.29747122053530994,0.8429613011777902
specific,calibrated,0.2999499487570608,0.8399682161303139
specific,calibrated,0.30242867697881165,0.8371030026006777
specific,calibrated,0.3049074052005625,0.8348315485030876
specific,calibrated,0.3073861334223133,0.8324416530976196
specific,calibrated,0.3098648616440642,0.8300130759172372
specific,calibrated,0.312343589865815,0.8283861121709272
specific,calibrated,0.31482231808756583,0.8265576500870618
specific,calibrated,0.31730104630931666,0.8242319537294374
specific,calibrated,0.31977977453106754,0.8211224565849295
specific,calibrated,0.32225850275281837,0.8190962206937357
specific,calibrated,0.3247372309745692,0.8168807339449541
specific,calibrated,0.32721595919632,0.814261781630126
specific,calibrated,0.3296946874180709,0.8111038820212535
specific,calibrated,0.3321734156398217,0.8092846380139198
specific,calibrated,0.33465214386157255,0.8072074638558507
specific,calibrated,0.33713087208332343,0.8048780487804879
specific,calibrated,0.33960960030507426,0.8027931784686645
specific,calibrated,0.3420883285268251,0.8002508186441859
specific,calibrated,0.3445670567485759,0.7981600608701667
specific,calibrated,0.3470457849703268,0.7959618158093538
specific,calibrated,0.3495245131920776,0.7935219911353563
specific,calibrated,0.35200324141382844,0.7911165278624145
specific,calibrated,0.35448196963557926,0.7891481207557318
specific,calibrated,0.35696069785733014,0.7865393603525406
specific,calibrated,0.35943942607908097,0.7834361116636828
specific,calibrated,0.3619181543008318,0.7807704972011854
specific,calibrated,0.3643968825225826,0.7780757407286284
specific,calibrated,0.3668756107443335,0.7759371142727214
specific,calibrated,0.36935433896608433,0.7731173775569465
specific,calibrated,0.37183306718783515,0.770783924107429
specific,calibrated,0.374311795409586,0.7683540273798154
specific,calibrated,0.37679052363133686,0.7657030805237522
specific,calibrated,0.3792692518530877,0.7635895180041475
specific,calibrated,0.3817479800748385,0.7610663669850783
specific,calibrated,0.3842267082965894,0.7584517089510576
specific,calibrated,0.3867054365183402,0.7557473035439137
specific,calibrated,0.38918416474009104,0.7530773470512585
specific,calibrated,0.39166289296184187,0.7509280107101564
specific,calibrated,0.39414162118359275,0.7481405333494587
specific,calibrated,0.3966203494053436,0.7455681749894838
specific,calibrated,0.3990990776270944,0.7433263660794267
specific,calibrated,0.4015778058488452,0.740874829366728
specific,calibrated,0.4040565340705961,0.7387483041349614
specific,calibrated,0.40653526229234693,0.735885560180571
