method,level,identity_stratum,n_report,n_assigned,coverage,micro_precision,micro_ci95_lo,micro_ci95_hi,macro_precision,n_distinct_labels
cluster_id90,category,>=90%,4644,3466,0.7463393626184324,0.9997114829774957,0.9983673957805523,0.9999490691554838,0.9994926433282597,3
embedding_calibrated,category,>=90%,4644,2697,0.5807493540051679,0.9755283648498332,0.9689856899358484,0.9807182838181103,0.9735840162488433,3
tiered,category,>=90%,4644,4509,0.9709302325581395,0.9931248613883344,0.9902579420422061,0.9951522261320992,0.9901456204867364,3
embedding_1nn,specific,all,41957,41957,1.0,0.3742641275591677,0.3696452236129406,0.37890605425275403,0.23797480212203972,4516
cluster_id30,specific,all,41957,37045,0.8829277593726911,0.8619246861924686,0.8583740929291443,0.8654002234046758,0.8517177082032362,3559
cluster_id50,specific,all,41957,24320,0.5796410610863503,0.9501644736842105,0.9473577575945057,0.9528289958005666,0.9275556585242642,3182
cluster_id70,specific,all,41957,9598,0.22875801415735159,0.9799958324650969,0.976996613925227,0.9826109680203033,0.9685660035860618,2060
cluster_id90,specific,all,41957,3978,0.09481135448196963,0.9909502262443439,0.9874972425199809,0.9934558923309887,0.9849047895524442,1181
embedding_calibrated,specific,all,41957,8296,0.19772624353504778,0.9326181292189006,0.9270209985770104,0.9378147833492374,0.8675756008925374,1177
tiered,specific,all,41957,26643,0.6350072693471888,0.9453139661449537,0.9425190317993575,0.9479805011734359,0.9203149543090511,3256
embedding_1nn,L1,all,41957,41957,1.0,0.5783063612746383,0.5735740814891329,0.5830243028483252,0.545616249940083,28
cluster_id30,L1,all,41957,37354,0.8902924422623162,0.9455747711088505,0.9432280428703332,0.9478298602179438,0.9450754608781884,28
cluster_id50,L1,all,41957,24481,0.5834783230450223,0.9818634859687104,0.9801146606148652,0.9834611053806968,0.9792905581851742,28
cluster_id70,L1,all,41957,9628,0.22947303191362586,0.9925218113834648,0.990593635240681,0.9940571090157444,0.9893691355182144,28
cluster_id90,L1,all,41957,3985,0.09497819195843363,0.9964868255959849,0.9941112355894921,0.9979060959585941,0.9961450850623977,28
embedding_calibrated,L1,all,41957,9394,0.22389589341468646,0.9583776878858846,0.9541479033695288,0.962232725986897,0.9326956624844894,28
tiered,L1,all,41957,37817,0.9013275496341493,0.9452098262686094,0.9428706209745391,0.9474585884103731,0.942735873636077,28
embedding_1nn,category,all,41957,41957,1.0,0.8863836785280168,0.8833116547105279,0.8893849539294666,0.8334933795942213,3
cluster_id30,category,all,41957,37463,0.8928903401101127,0.9942343111870379,0.9934153032559646,0.9949519681395512,0.9901727265390825,3
cluster_id50,category,all,41957,24563,0.585432704912172,0.9973130317957905,0.9965832768256526,0.9978872537288328,0.9951866473307588,3
cluster_id70,category,all,41957,9657,0.23016421574469098,0.9983431707569639,0.9973101351186001,0.9989798775444788,0.9970253078824776,3
cluster_id90,category,all,41957,3986,0.09500202588364277,0.9994982438534872,0.9981722162307273,0.9998623924615074,0.9993338335265899,3
embedding_calibrated,category,all,41957,17476,0.4165216769549777,0.9605745021744106,0.9575865341201024,0.9633600264025055,0.9485079189673682,3
tiered,category,all,41957,38672,0.9217055556879663,0.9908719486967315,0.9898741003429788,0.9917722822401994,0.9849711893052548,3
