identity_stratum,level,min_seq_id,n_report,n_matched_coverage,coverage,cluster_micro,cluster_micro_lo,cluster_micro_hi,cluster_macro,cluster_n_labels,embedding_micro,embedding_micro_lo,embedding_micro_hi,embedding_macro,embedding_n_labels,embedding_p_at_cut,macro_delta_cluster_minus_embedding,micro_delta_cluster_minus_embedding
<50%,category,0.5,6879,127,0.018461985753743276,1.0,0.9706393073762475,1.0,1.0,3,1.0,0.9706393073762475,1.0,1.0,3,0.998426435877262,0.0,0.0
50-90%,specific,0.3,30434,27884,0.9162121311690872,0.8578754841486157,0.8537276698639453,0.8619247024587662,0.8497758358496438,3180,0.39033137283029695,0.38462097505718107,0.3960719847020281,0.26227743532082093,3726,0.045454545454545456,0.5874984005288229,0.46754411131831874
50-90%,specific,0.5,30434,20037,0.6583755010843136,0.9452013774517143,0.9419639060499426,0.9482681688345772,0.9232498658718303,2974,0.5169935619104656,0.5100717212222919,0.52390888765593,0.36320396501055413,3010,0.10553633217993079,0.5600459008612761,0.42820781554124865
50-90%,specific,0.7,30434,5772,0.18965630544785436,0.9731462231462231,0.9686505866063573,0.9770124662031241,0.9597093928402922,1645,0.9272349272349273,0.920245822347392,0.9336557112403713,0.8453336924848771,1041,0.7092360319270239,0.11437570035541511,0.045911295911295835
50-90%,specific,0.9,30434,518,0.017020437668397188,0.974903474903475,0.9575388568133115,0.9852759743538474,0.9702177799447423,293,1.0,0.9926383791556672,1.0,1.0,71,0.9981515711645101,-0.029782220055257658,-0.025096525096525046
50-90%,L1,0.3,30434,28110,0.9236380364066504,0.9435076485236571,0.9407476099811994,0.9461464813620483,0.9450011984793188,28,0.5933475631447883,0.5875928060131836,0.5990768094263512,0.558559287871413,28,0.270392749244713,0.3864419106079059,0.3501600853788688
50-90%,L1,0.5,30434,20186,0.6632713412630611,0.9803329039928663,0.9783239870150725,0.9821590313360967,0.9800312673241722,28,0.7001387099970277,0.6937801534153234,0.7064211042309971,0.6715889092029448,28,0.3741473396998636,0.30844235812122744,0.28019419399583867
50-90%,L1,0.7,30434,5799,0.19054347111782874,0.9899982755647525,0.9870931213342127,0.9922546520049733,0.9882442018638476,27,0.9624073116054492,0.957197591142413,0.9670047858447514,0.9145749260758187,28,0.8739495798319328,0.07366927578802895,0.027590963959303272
50-90%,L1,0.9,30434,520,0.017086153643950844,0.9903846153846154,0.977690598210156,0.9958861471266023,0.9794148001756698,23,1.0,0.9926664854414006,0.9999999999999999,1.0,20,1.0,-0.020585199824330158,-0.009615384615384581
50-90%,category,0.3,30434,28188,0.9262009594532431,0.9945366822761459,0.9936061942149798,0.9953323928973997,0.9901560215724103,3,0.9046757485454804,0.9011921478475202,0.9080490618505368,0.842784046440228,3,0.783676703645008,0.14737197513218236,0.0898609337306655
50-90%,category,0.5,30434,20265,0.6658671222974305,0.9970885763631878,0.9962466464475842,0.9977420776046083,0.9942754342850065,3,0.9336294103133481,0.9301192176399891,0.9369752294348748,0.896073273279718,3,0.8518265619665415,0.09820216100528856,0.0634591660498397
50-90%,category,0.7,30434,5814,0.19103634093448119,0.9977640178878568,0.9961778881738457,0.9986927868888784,0.9950575769957091,3,0.9884760921912624,0.9853920705208986,0.990915019036163,0.9839068694307681,3,0.9619318181818182,0.011150707564940965,0.009287925696594423
50-90%,category,0.9,30434,520,0.017086153643950844,0.9980769230769231,0.9891880796810493,0.9996604577394226,0.9985569985569986,3,1.0,0.9926664854414006,0.9999999999999999,1.0,3,1.0,-0.0014430014430013571,-0.0019230769230769162
